序号,信号时间,方向,成交4H开盘价,成交价,ATR,ATR%,EMA70偏离度%,前3K涨幅%,EMA斜率%,突破实体/ATR,入场基准,是否确认,初始止损,止盈价,出场时间,出场价,持仓K数,R值,是否加仓,出场原因,年份
103,2025-08-29 12:00,做空,111648.6,111238.5,1246.39,1.116,-1.14,0.87,-0.3,1.35,突破K极值,确认,112484.89,97889.88,2025-08-31 08:00,109080.88,11,1.132,加仓,KAMA跟踪止损,2025
104,2025-08-29 08:00,做空,112507.3,111829.4,1241.08,1.103,-0.49,0.33,-0.17,0.69,突破K极值,弱突破,,,2025-08-29 08:00,111648.6,0,0.146,,弱突破平仓,2025
105,2025-08-29 00:00,做空,112633.1,111892.4,1268.55,1.126,-0.38,-0.61,-0.17,0.61,回调极值,弱突破,,,2025-08-29 00:00,111864.7,0,0.022,,弱突破平仓,2025
106,2025-08-28 12:00,做多,111954.0,112550.0,1312.4,1.172,-0.98,-0.01,-0.17,0.86,回调极值,弱突破,,,2025-08-28 12:00,113079.2,0,0.403,,弱突破平仓,2025
107,2025-08-27 20:00,做多,111270.7,111765.6,1305.02,1.173,-1.6,-0.39,-0.11,0.53,回调极值,弱突破,,,2025-08-27 20:00,111965.1,0,0.153,,弱突破平仓,2025
108,2025-08-25 00:00,做空,114372.7,114324.9,1015.85,0.888,0.98,0.55,0.17,1.79,突破K极值,确认,115340.75,100605.91,2025-08-27 04:00,111178.87,13,3.383,加仓,KAMA跟踪止损,2025
109,2025-08-24 20:00,做空,114701.9,114574.1,1041.94,0.908,1.27,0.59,0.17,0.32,突破K极值,弱突破,,,2025-08-24 20:00,114372.6,0,0.193,,弱突破平仓,2025
110,2025-08-24 16:00,做空,114854.9,114814.2,1072.61,0.934,1.4,0.22,0.17,0.14,突破K极值,弱突破,,,2025-08-24 16:00,114702.0,0,0.105,,弱突破平仓,2025
111,2025-08-22 20:00,做多,112272.9,113485.9,1061.66,0.946,-0.82,-0.17,0.18,3.81,回调极值,确认,112424.24,138452.8,2025-08-23 20:00,114744.7,6,-0.586,加仓,KAMA跟踪止损,2025
112,2025-08-22 00:00,做空,112748.8,112545.4,1086.72,0.964,-0.31,1.02,0.2,0.55,突破K极值,弱突破,,,2025-08-22 00:00,112152.8,0,0.361,,弱突破平仓,2025
113,2025-08-21 20:00,做空,113100.0,112924.6,1070.72,0.947,0.01,0.98,0.2,0.33,突破K极值,弱突破,,,2025-08-21 20:00,112748.9,0,0.164,,弱突破平仓,2025
114,2025-08-21 16:00,做空,113836.8,113520.0,1073.25,0.943,0.66,0.33,0.2,0.69,突破K极值,弱突破,,,2025-08-21 16:00,113100.2,0,0.391,,弱突破平仓,2025
115,2025-08-19 20:00,做空,115461.0,114303.8,1086.44,0.941,2.11,0.62,0.42,1.59,突破K极值,确认,115390.24,100587.34,2025-08-21 00:00,114303.8,7,0.0,,KAMA跟踪止损,2025
116,2025-08-19 08:00,做空,116183.6,114769.2,1051.92,0.905,2.74,-1.12,0.57,1.36,回调极值,弱突破,,,2025-08-19 08:00,114756.6,0,0.012,,弱突破平仓,2025
117,2025-08-18 08:00,做空,117353.9,117245.0,989.22,0.843,3.85,0.76,0.77,2.11,突破K极值,确认,118234.22,103175.6,2025-08-19 04:00,116878.79,5,-1.374,加仓,KAMA跟踪止损,2025
118,2025-08-18 00:00,做空,118191.0,117627.3,1007.75,0.853,4.6,-0.48,0.77,0.66,回调极值,弱突破,,,2025-08-18 00:00,117527.0,0,0.1,,弱突破平仓,2025
119,2025-08-17 16:00,做多,117950.0,118187.0,1056.26,0.896,4.38,0.28,0.77,0.29,突破K极值,弱突破,,,2025-08-17 16:00,118253.9,0,0.063,,弱突破平仓,2025
120,2025-08-15 20:00,做空,118950.1,117970.7,1305.54,1.098,5.51,-0.6,0.93,1.33,回调极值,确认,119276.24,103814.22,2025-08-17 12:00,117970.7,10,0.0,,KAMA跟踪止损,2025
121,2025-08-13 16:00,做多,119540.3,120270.0,1119.04,0.936,6.31,-0.05,0.99,0.89,回调极值,弱突破,,,2025-08-13 16:00,120538.5,0,0.24,,弱突破平仓,2025
122,2025-08-12 20:00,做多,118464.2,119246.4,1119.22,0.945,5.65,-0.15,0.85,1.27,回调极值,确认,118127.18,145480.61,2025-08-13 12:00,119246.4,4,0.0,,KAMA跟踪止损,2025
123,2025-08-10 08:00,做多,116422.1,117200.0,918.82,0.789,4.43,-0.55,0.62,2.24,回调极值,确认,116281.18,142984.0,2025-08-12 00:00,119138.36,10,2.515,加仓,KAMA跟踪止损,2025
