信号时间,方向,突破基准价,入场KAMA,出场时间,出场价,实际涨跌幅,盘中最大涨跌幅,持仓K线数,持仓小时,最大回撤1,最大回撤1时间,最大回撤2,最大回撤2时间,最大回撤3,最大回撤3时间,KAMA止损出场,峰值到平仓回撤
2020-03-28 04:00,short,6566.0,6580.507513277345,2020-03-30 12:00,6125.554758869065,0.06707968948080031,0.10904660371611331,14,56.0,0.049934327765779524,2020-03-30 12:00,0.017253949637045414,2020-03-30 08:00,0.01713160915774807,2020-03-28 16:00,True,0.020258533921256823
2020-04-27 08:00,long,7709.57,7526.32138296971,2020-04-30 16:00,8955.915795638894,0.16166216736327627,0.22961073055955142,20,80.0,0.04952165423924061,2020-04-30 16:00,0.013619126523340215,2020-04-30 12:00,0.009193465397478806,2020-04-28 08:00,True,0.02433458408668942
2020-05-10 08:00,short,9528.23,9749.303873933746,2020-05-11 16:00,8890.318027868541,0.06694968237872703,0.13415188340331832,8,32.0,0.040118331648790174,2020-05-11 16:00,0.020824551448975416,2020-05-11 04:00,0.0,2020-05-10 12:00,True,0.043938588770844465
2020-05-13 16:00,long,8981.0,8870.799084936956,2020-05-15 08:00,9635.846999986627,0.07291470882826262,0.10789444382585459,10,40.0,0.03226795275268722,2020-05-15 08:00,0.008829394504489687,2020-05-15 00:00,0.0,2020-05-13 20:00,True,0.015424142724217594
2020-07-26 00:00,long,9650.0,9517.798549191712,2020-07-28 16:00,10634.693299253087,0.10204075639928367,0.1904663212435233,16,64.0,0.013606599816430351,2020-07-28 12:00,0.010627387562006003,2020-07-27 12:00,0.010285445153144248,2020-07-27 00:00,True,0.037373497249797015
2020-09-02 16:00,short,11730.02,11734.32122902387,2020-09-05 00:00,10509.208535917682,0.10407582119061337,0.1578317854530513,14,56.0,0.03208133367770462,2020-09-05 00:00,0.021485161003561817,2020-09-04 20:00,0.021035426189432205,2020-09-04 16:00,True,0.007799686878182622
2020-10-19 20:00,long,11543.0,11419.38266006708,2020-10-23 08:00,12886.481662280972,0.11638929760729205,0.14701550723382137,21,84.0,0.008599184374132221,2020-10-23 08:00,0.007902284012524265,2020-10-23 04:00,0.005575149245041654,2020-10-22 08:00,True,0.014204859462432627
2020-11-05 00:00,long,14070.0,13619.190010264021,2020-11-06 16:00,15319.18968510987,0.08878391507532836,0.13604832977967313,10,40.0,0.009531071292413273,2020-11-06 16:00,0.009402035419504753,2020-11-06 08:00,0.0,2020-11-05 04:00,True,0.026611406461439193
2020-11-16 12:00,long,16161.23,15990.456943990745,2020-11-18 12:00,17465.56035744559,0.08070736926865031,0.14595238109970593,12,48.0,0.012146265427223253,2020-11-17 08:00,0.004129622951357051,2020-11-17 04:00,0.0,2020-11-16 16:00,True,0.0
2020-11-26 08:00,short,18509.12,18799.913863013746,2020-11-28 04:00,17079.065322503753,0.07726216467861498,0.12578231704154488,11,44.0,0.030697138152728648,2020-11-28 04:00,0.030194816449908304,2020-11-27 04:00,0.0,2020-11-26 12:00,True,0.03304427448732409
2020-11-28 20:00,long,17274.97,17084.529935539,2020-12-01 16:00,19243.066509973207,0.11392763692053912,0.15519737516186707,17,68.0,0.014517748478701869,2020-12-01 08:00,0.005574990725186473,2020-11-29 04:00,0.0,2020-11-29 00:00,True,0.0
2020-12-16 16:00,long,19549.99,19177.557448241318,2020-12-18 00:00,22495.975160047114,0.15068985508673466,0.22189525416637038,8,32.0,0.01874307231856966,2020-12-18 00:00,0.0,2020-12-16 20:00,0.0,,True,0.0365072681744194
2020-12-25 04:00,long,23637.99,23274.281674179983,2020-12-27 20:00,26775.196951366157,0.13271885432586084,0.2039873102577672,16,64.0,0.02324505806285903,2020-12-25 20:00,0.0,2020-12-25 08:00,0.0,,True,0.03265826619075529
