序号,信号时间,方向,6K极值,回调基准,是否有回调基准,回调基准偏移%,ATR,ATR%,突破K收盘价,突破K最低价,突破K最高价,是否成交,是否确认,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,前3K止损,MFE%,MAE%,可能错过涨幅%,可能错过R值,年份
790,2023-04-10 00:00,做多,28078.1,28078.1,是,0.0,268.59,0.957,28132.4,27860.3,28290.6,成交,弱突破,28078.1,27997.52,34255.28,2023-04-10 00:00,28132.4,0,0.202,弱突破平仓,否,,是,0.0,0.0,,,2023
791,2023-04-10 04:00,做多,28290.6,28078.1,是,0.751,276.68,0.978,28309.4,28077.1,28539.1,成交,确认,28078.1,27995.1,34255.28,2023-04-12 04:00,30005.59,12,10.005,KAMA跟踪止损,是,29164.9,否,8.85,0.27,,,2023
792,2023-04-14 08:00,做多,30648.9,30648.9,是,0.0,357.3,1.166,30684.6,30293.0,30950.0,成交,弱突破,30648.9,30541.71,37391.66,2023-04-14 08:00,30684.6,0,0.1,弱突破平仓,否,,是,0.0,0.0,,,2023
793,2023-04-17 08:00,做空,30102.0,30102.0,是,0.0,292.76,0.973,29966.5,29714.1,30307.4,成交,弱突破,30102.0,30189.83,26489.76,2023-04-17 08:00,29966.5,0,0.463,弱突破平仓,否,,是,0.0,0.0,,,2023
794,2023-04-17 16:00,做空,29714.1,30142.5,是,1.442,301.03,1.013,29558.1,29283.8,29913.6,未成交,确认,30142.5,30232.81,26525.4,2023-04-18 12:00,29677.49,5,0.445,KAMA跟踪止损,是,29346.5,否,3.53,1.17,3.53,0.445,2023
795,2023-04-18 16:00,做多,29913.6,29913.6,是,0.0,315.81,1.056,30369.7,29678.2,30378.0,成交,确认,29913.6,29818.86,36494.59,2023-04-19 16:00,29913.6,6,0.0,KAMA跟踪止损,否,,否,1.89,-3.72,,,2023
796,2023-04-20 04:00,做空,28800.0,28800.0,是,0.0,384.97,1.337,28795.1,28557.3,29309.7,成交,弱突破,28800.0,28915.49,25344.0,2023-04-20 04:00,28795.1,0,0.013,弱突破平仓,否,,是,0.0,0.0,,,2023
797,2023-04-20 20:00,做空,28520.2,28520.2,是,0.0,398.37,1.397,28492.3,28300.0,28940.0,成交,弱突破,28520.2,28639.71,25097.78,2023-04-20 20:00,28492.3,0,0.07,弱突破平仓,否,,是,0.0,0.0,,,2023
798,2023-04-21 00:00,做空,28300.0,28520.2,是,0.778,410.46,1.45,28091.2,27983.0,28650.0,成交,确认,28520.2,28643.34,25097.78,2023-04-21 20:00,28295.99,5,0.546,KAMA跟踪止损,否,,否,2.53,0.53,,,2023
799,2023-04-22 00:00,做空,27800.0,27983.0,是,0.658,411.44,1.48,27273.6,27188.0,28086.4,成交,确认,27983.0,28106.43,24625.04,2023-04-22 20:00,27516.3,5,0.493,KAMA跟踪止损,是,27252.5,否,3.16,1.53,,,2023
800,2023-04-23 04:00,做多,27780.0,27400.0,是,1.368,387.3,1.394,27807.2,27554.6,27888.0,未成交,确认,27400.0,27283.81,33428.0,2023-04-23 20:00,27544.89,4,0.374,KAMA跟踪止损,否,,否,1.49,-0.44,1.49,0.374,2023
801,2023-04-26 00:00,做多,27583.6,27583.6,是,0.0,370.94,1.345,27596.1,27302.4,27787.5,成交,弱突破,27583.6,27472.32,33651.99,2023-04-26 00:00,27596.1,0,0.034,弱突破平仓,否,,是,0.0,0.0,,,2023
802,2023-04-26 04:00,做多,27787.5,27583.6,是,0.734,376.65,1.355,28286.7,27596.2,28379.9,未成交,确认,27583.6,27470.6,33651.99,2023-04-27 00:00,28595.84,5,3.483,KAMA跟踪止损,是,28296.2,否,8.94,0.22,8.94,3.483,2023
803,2023-04-30 20:00,做多,29385.0,29385.0,是,0.0,409.93,1.395,29644.2,29169.9,29950.0,成交,确认,29385.0,29262.02,35849.7,2023-05-01 00:00,29262.02,1,-0.3,前3K止损,否,,是,1.62,-0.63,,,2023
804,2023-05-01 08:00,做空,29067.4,29067.4,是,0.0,434.3,1.494,28545.6,28333.0,29325.5,成交,确认,29067.4,29197.69,25579.31,2023-05-02 20:00,28367.58,9,1.129,KAMA跟踪止损,是,28158.3,否,4.88,1.0,,,2023
805,2023-05-04 04:00,做多,28820.0,28820.0,是,0.0,435.07,1.51,29018.4,28267.3,29258.4,成交,弱突破,28820.0,28689.48,35160.4,2023-05-04 04:00,29018.4,0,0.456,弱突破平仓,否,,是,0.0,0.0,,,2023
806,2023-05-06 20:00,做空,28618.3,28618.3,是,0.0,408.78,1.428,28557.9,28333.0,29266.7,成交,弱突破,28618.3,28740.93,25184.1,2023-05-06 20:00,28557.9,0,0.148,弱突破平仓,否,,是,0.0,0.0,,,2023
807,2023-05-08 04:00,做空,28620.2,28620.2,是,0.0,391.2,1.367,28419.4,28370.0,28947.7,成交,确认,28620.2,28737.56,25185.78,2023-05-10 04:00,27757.0,12,2.72,KAMA跟踪止损,是,27957.8,否,4.79,-0.02,,,2023
808,2023-05-10 20:00,做多,27848.7,27815.6,是,0.119,371.51,1.334,28141.2,27623.4,28297.0,成交,确认,27815.6,27704.15,33935.03,2023-05-11 00:00,27704.15,1,-0.3,前3K止损,否,,是,1.71,-4.13,,,2023
809,2023-05-12 08:00,做空,26688.8,,否,,440.38,1.65,26574.8,26515.0,27090.0,成交,弱突破,26688.8,26820.91,23486.14,2023-05-12 08:00,26574.8,0,0.259,弱突破平仓,否,,是,0.0,0.0,,,2023
810,2023-05-12 12:00,做空,26515.0,,否,,447.11,1.686,26294.1,26100.1,26699.2,成交,弱突破,26515.0,26649.13,23333.2,2023-05-12 12:00,26294.1,0,0.494,弱突破平仓,否,,是,0.0,0.0,,,2023
811,2023-05-14 20:00,做多,27051.5,27051.5,是,0.0,360.37,1.332,27071.4,26730.0,27200.0,成交,弱突破,27051.5,26943.39,33002.83,2023-05-14 20:00,27071.4,0,0.055,弱突破平仓,否,,是,0.0,0.0,,,2023
812,2023-05-15 08:00,做多,27200.0,27200.0,是,0.0,350.75,1.29,27216.3,26694.4,27279.0,成交,弱突破,27200.0,27094.78,33184.0,2023-05-15 08:00,27216.3,0,0.046,弱突破平仓,否,,是,0.0,0.0,,,2023
813,2023-05-15 12:00,做多,27279.0,27200.0,是,0.29,362.44,1.329,27398.6,27165.1,27550.0,成交,确认,27200.0,27091.27,33184.0,2023-05-16 04:00,27200.0,4,0.0,KAMA跟踪止损,否,,否,1.65,-0.37,,,2023
814,2023-05-17 12:00,做空,26862.0,26862.0,是,0.0,328.81,1.224,26831.9,26700.0,27092.4,成交,弱突破,26862.0,26960.64,23638.56,2023-05-17 12:00,26831.9,0,0.092,弱突破平仓,否,,是,0.0,0.0,,,2023
815,2023-05-17 16:00,做空,26700.0,26862.0,是,0.607,331.99,1.243,26626.5,26558.0,26907.5,成交,确认,26862.0,26961.6,23638.56,2023-05-18 00:00,26961.6,2,-0.3,前3K止损,否,,是,1.25,-2.16,,,2023
816,2023-05-19 00:00,做空,26730.0,26730.0,是,0.0,331.83,1.241,26719.3,26335.3,27100.0,成交,弱突破,26730.0,26829.55,23522.4,2023-05-19 00:00,26719.3,0,0.032,弱突破平仓,否,,是,0.0,0.0,,,2023
817,2023-05-21 00:00,做多,26969.8,26966.8,是,0.011,276.85,1.027,27054.3,26900.1,27144.4,成交,弱突破,26966.8,26883.75,32899.5,2023-05-21 00:00,27054.3,0,0.316,弱突破平仓,否,,是,0.0,0.0,,,2023
818,2023-05-21 08:00,做多,27144.4,,否,,270.31,0.996,27166.5,27050.0,27288.0,成交,弱突破,27144.4,27063.31,33116.17,2023-05-21 08:00,27166.5,0,0.082,弱突破平仓,否,,是,0.0,0.0,,,2023
819,2023-05-21 16:00,做空,26841.8,26841.8,是,0.0,262.04,0.976,26818.1,26750.0,27077.7,成交,弱突破,26841.8,26920.41,23620.78,2023-05-21 16:00,26818.1,0,0.09,弱突破平仓,否,,是,0.0,0.0,,,2023
820,2023-05-22 04:00,做空,26750.0,26952.8,是,0.758,253.63,0.948,26732.8,26642.0,26915.0,未成交,确认,26952.8,27028.89,23718.46,2023-05-22 20:00,26952.8,4,0.0,KAMA跟踪止损,否,,否,1.68,-0.54,1.68,0.0,2023
821,2023-05-23 08:00,做多,27097.8,27097.8,是,0.0,247.75,0.914,27354.6,26782.6,27430.0,成交,确认,27097.8,27023.48,33059.32,2023-05-24 00:00,27103.92,4,0.025,KAMA跟踪止损,否,,否,1.59,-0.07,,,2023
822,2023-05-24 08:00,做空,26782.6,26782.6,是,0.0,251.45,0.939,26770.0,26644.2,27212.9,成交,弱突破,26782.6,26858.04,23568.69,2023-05-24 08:00,26770.0,0,0.05,弱突破平仓,否,,是,0.0,0.0,,,2023
823,2023-05-24 20:00,做空,26566.5,,否,,262.02,0.986,26306.9,26060.0,26731.7,成交,确认,26566.5,26645.11,23378.52,2023-05-25 20:00,26406.18,6,-0.286,KAMA跟踪止损,是,26171.0,否,2.7,0.29,,,2023
824,2023-05-26 20:00,做多,26644.0,26644.0,是,0.0,271.56,1.019,26737.5,26342.9,26925.0,成交,弱突破,26644.0,26562.53,32505.68,2023-05-26 20:00,26737.5,0,0.344,弱突破平仓,否,,是,0.0,0.0,,,2023
825,2023-05-28 08:00,做多,26890.0,26776.4,是,0.422,246.74,0.918,27174.4,26746.0,27240.5,成交,确认,26776.4,26702.38,32667.21,2023-05-29 20:00,27724.61,9,5.892,KAMA跟踪止损,是,27218.9,否,6.22,1.14,,,2023
826,2023-05-30 16:00,做多,27966.7,27966.7,是,0.0,292.24,1.045,28005.9,27697.1,28038.6,成交,弱突破,27966.7,27879.03,34119.37,2023-05-30 16:00,28005.9,0,0.134,弱突破平仓,否,,是,0.0,0.0,,,2023
827,2023-05-31 12:00,做空,27530.0,27530.0,是,0.0,295.89,1.075,27150.4,26942.0,27668.7,成交,确认,27530.0,27618.77,24226.4,2023-06-02 12:00,27136.73,12,0.529,KAMA跟踪止损,是,26900.1,否,3.82,0.66,,,2023
828,2023-06-03 20:00,做多,27290.0,27290.0,是,0.0,284.0,1.041,27292.7,27110.0,27340.2,成交,弱突破,27290.0,27204.8,33293.8,2023-06-03 20:00,27292.7,0,0.01,弱突破平仓,否,,是,0.0,0.0,,,2023
829,2023-06-05 08:00,做空,26935.3,26935.3,是,0.0,254.61,0.945,26835.9,26755.0,27125.0,成交,弱突破,26935.3,27011.68,23703.06,2023-06-05 08:00,26835.9,0,0.39,弱突破平仓,否,,是,0.0,0.0,,,2023
830,2023-06-05 20:00,做空,26647.0,,否,,250.92,0.942,25991.9,25971.0,26809.9,成交,确认,26647.0,26722.28,23449.36,2023-06-06 20:00,25848.69,6,2.264,KAMA跟踪止损,是,25618.5,否,4.97,1.91,,,2023
831,2023-06-07 00:00,做多,26139.0,26072.2,是,0.256,310.7,1.189,27073.2,26051.2,27238.9,成交,确认,26072.2,25978.99,31808.08,2023-06-08 04:00,26161.77,7,-3.123,KAMA跟踪止损,是,27221.5,否,5.07,0.15,,,2023
832,2023-06-10 12:00,做空,26250.0,26411.4,是,0.615,320.89,1.222,25637.2,25445.0,26340.1,未成交,确认,26411.4,26507.67,23242.03,2023-06-12 00:00,25847.98,9,1.353,KAMA跟踪止损,是,25718.7,否,4.21,1.01,4.21,1.353,2023
833,2023-06-13 16:00,做多,26155.5,26097.7,是,0.221,308.09,1.178,26178.1,26044.9,26284.7,成交,弱突破,26097.7,26005.27,31839.19,2023-06-13 16:00,26178.1,0,0.261,弱突破平仓,否,,是,0.0,0.0,,,2023
834,2023-06-15 04:00,做空,25750.0,25790.6,是,0.158,288.03,1.119,25115.9,24796.8,25872.9,成交,确认,25790.6,25877.01,22695.73,2023-06-16 00:00,25289.78,5,0.923,KAMA跟踪止损,是,25054.8,否,3.93,1.06,,,2023
835,2023-06-16 20:00,做多,25750.0,25750.0,是,0.0,307.84,1.195,25832.4,25142.1,25896.0,成交,弱突破,25750.0,25657.65,31415.0,2023-06-16 20:00,25832.4,0,0.268,弱突破平仓,否,,是,0.0,0.0,,,2023
836,2023-06-17 00:00,做多,25896.0,25750.0,是,0.564,330.14,1.275,26371.2,25756.0,26526.9,未成交,确认,25750.0,25650.96,31415.0,2023-06-19 04:00,26412.76,13,2.24,KAMA跟踪止损,是,26336.0,否,4.47,1.63,4.47,2.24,2023
837,2023-06-21 00:00,做多,27177.3,27177.3,是,0.0,304.05,1.119,27973.8,26983.3,28145.0,成交,确认,27177.3,27086.09,33156.31,2023-06-22 16:00,29984.99,10,14.807,KAMA跟踪止损,是,28290.6,否,13.41,2.5,,,2023
838,2023-06-23 20:00,做多,30353.9,30353.9,是,0.0,435.57,1.435,31232.9,29901.1,31500.0,成交,确认,30353.9,30223.23,37031.76,2023-06-24 20:00,30353.9,6,0.0,KAMA跟踪止损,否,,否,3.58,-0.3,,,2023
839,2023-06-27 16:00,做多,30667.3,30667.3,是,0.0,405.42,1.322,30720.1,30322.2,30800.0,成交,弱突破,30667.3,30545.67,37414.11,2023-06-27 16:00,30720.1,0,0.13,弱突破平仓,否,,是,0.0,0.0,,,2023
840,2023-06-28 12:00,做空,30222.5,30222.5,是,0.0,405.2,1.341,30176.0,30127.0,30479.5,成交,弱突破,30222.5,30344.06,26595.8,2023-06-28 12:00,30176.0,0,0.115,弱突破平仓,否,,是,0.0,0.0,,,2023
841,2023-06-29 16:00,做多,30485.0,30485.0,是,0.0,390.45,1.281,30660.6,30320.3,30744.4,成交,弱突破,30485.0,30367.86,37191.7,2023-06-29 16:00,30660.6,0,0.45,弱突破平仓,否,,是,0.0,0.0,,,2023
842,2023-06-30 20:00,做空,30222.0,30222.0,是,0.0,402.75,1.333,30052.0,29500.0,31127.3,成交,弱突破,30222.0,30342.83,26595.36,2023-06-30 20:00,30052.0,0,0.422,弱突破平仓,否,,是,0.0,0.0,,,2023
843,2023-07-03 20:00,做多,30800.0,30800.0,是,0.0,325.71,1.058,31068.0,30559.4,31179.0,成交,确认,30800.0,30702.29,37576.0,2023-07-04 12:00,30863.4,4,0.195,KAMA跟踪止损,否,,否,1.93,0.03,,,2023
844,2023-07-05 00:00,做空,30810.2,30810.2,是,0.0,337.23,1.095,30685.3,30600.0,31145.0,成交,弱突破,30810.2,30911.37,27112.98,2023-07-05 00:00,30685.3,0,0.37,弱突破平仓,否,,是,0.0,0.0,,,2023
845,2023-07-05 16:00,做空,30600.0,30600.0,是,0.0,318.87,1.042,30395.0,30326.0,30797.4,成交,确认,30600.0,30695.66,26928.0,2023-07-06 12:00,30600.0,5,0.0,KAMA跟踪止损,否,,否,1.39,-0.81,,,2023
846,2023-07-11 00:00,做多,30359.7,30336.9,是,0.075,267.52,0.881,30824.5,30223.5,30830.0,成交,确认,30336.9,30256.64,37011.02,2023-07-11 04:00,30256.64,1,-0.3,前3K止损,否,,是,2.32,-0.78,,,2023
847,2023-07-13 00:00,做空,30383.9,30383.9,是,0.0,307.61,1.012,30268.1,30186.0,30529.0,成交,弱突破,30383.9,30476.18,26737.83,2023-07-13 00:00,30268.1,0,0.376,弱突破平仓,否,,是,0.0,0.0,,,2023
848,2023-07-14 00:00,做多,31205.3,30529.0,是,2.167,314.34,1.007,31600.6,30700.0,31850.0,未成交,确认,30529.0,30434.7,37245.38,2023-07-15 00:00,30844.0,6,-0.899,KAMA跟踪止损,是,31441.7,否,3.82,-2.14,3.82,-0.899,2023
849,2023-07-16 08:00,做空,30220.2,30220.2,是,0.0,328.74,1.088,30174.1,30050.0,30325.0,成交,弱突破,30220.2,30318.82,26593.78,2023-07-16 08:00,30174.1,0,0.14,弱突破平仓,否,,是,0.0,0.0,,,2023
850,2023-07-16 20:00,做多,30348.4,30348.4,是,0.0,307.28,1.013,30366.0,30254.1,30441.6,成交,弱突破,30348.4,30256.22,37025.05,2023-07-16 20:00,30366.0,0,0.057,弱突破平仓,否,,是,0.0,0.0,,,2023
851,2023-07-18 00:00,做空,29910.0,30110.6,是,0.671,284.08,0.95,29870.0,29630.0,30224.4,成交,确认,30110.6,30195.82,26497.33,2023-07-18 04:00,30195.82,1,-0.3,前3K止损,否,,是,0.82,-0.57,,,2023
852,2023-07-20 12:00,做多,30178.5,30178.5,是,0.0,284.78,0.944,30195.5,29912.1,30240.2,成交,弱突破,30178.5,30093.07,36817.77,2023-07-20 12:00,30195.5,0,0.06,弱突破平仓,否,,是,0.0,0.0,,,2023
853,2023-07-20 16:00,做多,30240.2,30130.0,是,0.364,286.94,0.949,30274.0,30151.6,30420.0,未成交,确认,30130.0,30043.92,36758.6,2023-07-20 20:00,30043.92,1,-0.3,前3K止损,否,,是,0.57,-1.76,0.57,-0.3,2023
854,2023-07-23 04:00,做空,29783.6,29819.4,是,0.12,238.54,0.801,29783.5,29602.2,29831.3,成交,弱突破,29819.4,29890.96,26241.07,2023-07-23 04:00,29783.5,0,0.15,弱突破平仓,否,,是,0.0,0.0,,,2023
855,2023-07-24 00:00,做多,29974.6,29892.5,是,0.274,215.48,0.719,30083.1,29885.9,30368.2,成交,确认,29892.5,29827.85,36468.85,2023-07-24 08:00,29827.85,2,-0.3,前3K止损,否,,是,0.81,-0.81,,,2023
856,2023-07-24 16:00,做空,29639.7,29836.2,是,0.663,238.52,0.805,29259.6,28904.4,29820.9,未成交,确认,29836.2,29907.76,26255.86,2023-07-26 08:00,29343.73,10,0.983,KAMA跟踪止损,是,29085.8,否,3.37,1.41,3.37,0.983,2023
857,2023-07-28 00:00,做空,29172.0,29172.0,是,0.0,234.73,0.805,29152.6,29065.5,29324.5,成交,弱突破,29172.0,29242.42,25671.36,2023-07-28 00:00,29152.6,0,0.083,弱突破平仓,否,,是,0.0,0.0,,,2023
858,2023-07-31 00:00,做空,29211.2,29276.0,是,0.222,165.53,0.567,29187.2,29100.0,29399.5,成交,确认,29276.0,29325.66,25762.88,2023-07-31 08:00,29325.66,2,-0.3,前3K止损,否,,是,0.92,-0.85,,,2023
859,2023-08-01 08:00,做空,29100.0,29250.0,是,0.515,176.84,0.608,28820.1,28684.7,29337.3,成交,确认,29250.0,29303.05,25740.0,2023-08-02 00:00,29217.45,4,-1.491,KAMA跟踪止损,是,28921.2,否,2.39,-0.27,,,2023
860,2023-08-02 04:00,做多,29337.3,29337.3,是,0.0,221.13,0.754,29701.2,29170.0,29735.0,成交,确认,29337.3,29270.96,35791.51,2023-08-02 20:00,29337.3,4,0.0,KAMA跟踪止损,否,,否,2.46,-0.62,,,2023
861,2023-08-05 00:00,做空,29079.6,29079.6,是,0.0,234.86,0.808,29021.0,28919.9,29273.6,成交,弱突破,29079.6,29150.06,25590.05,2023-08-05 00:00,29021.0,0,0.25,弱突破平仓,否,,是,0.0,0.0,,,2023
862,2023-08-07 20:00,做空,28978.5,28978.5,是,0.0,172.26,0.594,28853.2,28771.0,29148.8,成交,确认,28978.5,29030.18,25501.08,2023-08-08 00:00,29030.18,1,-0.3,前3K止损,否,,是,1.02,-0.68,,,2023
863,2023-08-08 16:00,做多,29330.0,,否,,191.23,0.652,29428.0,29160.0,29439.0,成交,确认,29330.0,29272.63,35782.6,2023-08-10 00:00,29593.91,8,-0.045,KAMA跟踪止损,是,29866.4,否,3.14,0.02,,,2023
864,2023-08-14 04:00,做空,29316.2,29343.8,是,0.094,141.79,0.484,29293.3,29256.6,29434.9,成交,弱突破,29343.8,29386.34,25822.54,2023-08-14 04:00,29293.3,0,0.356,弱突破平仓,否,,是,0.0,0.0,,,2023
865,2023-08-14 20:00,做多,29486.0,29463.0,是,0.078,148.56,0.504,29592.9,29319.9,29665.0,成交,确认,29463.0,29418.43,35944.86,2023-08-15 00:00,29418.43,1,-0.3,前3K止损,否,,是,0.76,-0.78,,,2023
866,2023-08-16 00:00,做空,29233.0,29233.0,是,0.0,162.37,0.555,29172.4,29050.0,29358.9,成交,弱突破,29233.0,29281.71,25725.04,2023-08-16 00:00,29172.4,0,0.373,弱突破平仓,否,,是,0.0,0.0,,,2023
867,2023-08-17 04:00,做空,28940.0,,否,,166.04,0.574,28714.4,28705.1,29132.4,成交,确认,28940.0,28989.81,25467.2,2023-08-18 04:00,25467.2,6,40.045,止盈,是,28643.5,否,15.06,0.57,,,2023
868,2023-08-23 00:00,做空,25900.0,25921.1,是,0.081,256.04,0.989,25767.2,25693.6,26048.0,成交,确认,25921.1,25997.91,22810.57,2023-08-23 04:00,25997.91,1,-0.3,前3K止损,否,,是,2.47,-0.54,,,2023
869,2023-08-24 00:00,做多,26187.0,26177.0,是,0.038,280.31,1.07,26615.2,26113.7,26806.0,成交,确认,26177.0,26092.91,31935.94,2023-08-24 20:00,26177.0,5,0.0,KAMA跟踪止损,否,,否,2.05,-0.78,,,2023
870,2023-08-27 20:00,做多,26087.7,26070.0,是,0.068,202.35,0.776,26110.8,26040.2,26173.6,成交,弱突破,26070.0,26009.29,31805.4,2023-08-27 20:00,26110.8,0,0.202,弱突破平仓,否,,是,0.0,0.0,,,2023
871,2023-08-28 12:00,做空,25970.3,26009.6,是,0.151,188.07,0.724,25923.0,25850.4,26024.7,成交,弱突破,26009.6,26066.02,22888.45,2023-08-28 12:00,25923.0,0,0.46,弱突破平仓,否,,是,0.0,0.0,,,2023
872,2023-08-29 20:00,做多,26244.6,26244.6,是,0.0,186.39,0.71,27411.4,25951.7,27690.0,成交,确认,26244.6,26188.68,32018.41,2023-08-30 20:00,27086.44,6,0.581,KAMA跟踪止损,是,27820.0,否,7.33,2.69,,,2023
873,2023-08-31 20:00,做空,26950.0,26950.0,是,0.0,284.06,1.054,26909.5,26733.8,27305.1,成交,弱突破,26950.0,27035.22,23716.0,2023-08-31 20:00,26909.5,0,0.143,弱突破平仓,否,,是,0.0,0.0,,,2023
874,2023-09-01 00:00,做空,26733.8,27053.0,是,1.194,298.42,1.116,26148.7,25876.6,26913.9,未成交,确认,27053.0,27142.53,23806.64,2023-09-02 20:00,25914.3,11,3.862,KAMA跟踪止损,是,25928.0,否,6.44,3.23,6.44,3.862,2023
875,2023-09-06 20:00,做空,25610.0,25610.0,是,0.0,208.28,0.813,25576.3,25530.0,25769.3,成交,弱突破,25610.0,25672.48,22536.8,2023-09-06 20:00,25576.3,0,0.162,弱突破平仓,否,,是,0.0,0.0,,,2023
876,2023-09-08 04:00,做多,25971.7,25838.0,是,0.515,212.07,0.817,26240.7,25843.3,26451.0,未成交,确认,25838.0,25774.38,31522.36,2023-09-08 16:00,25774.38,3,-2.475,前3K止损,是,26235.6,是,2.32,-0.81,2.32,-2.475,2023
877,2023-09-11 20:00,做空,25508.7,25508.7,是,0.0,196.8,0.771,25102.5,24915.0,25749.7,成交,确认,25508.7,25567.74,22447.66,2023-09-12 08:00,25567.74,3,-3.143,前3K止损,是,25008.3,是,2.43,-1.73,,,2023
878,2023-09-12 16:00,做多,25989.6,25817.9,是,0.661,271.18,1.043,26087.2,25720.0,26330.9,成交,确认,25817.9,25736.55,31497.84,2023-09-13 08:00,25817.9,4,0.0,KAMA跟踪止损,否,,否,2.95,-0.26,,,2023
879,2023-09-14 20:00,做多,26536.7,26536.7,是,0.0,309.28,1.165,26679.9,26326.0,26790.0,成交,弱突破,26536.7,26443.92,32374.77,2023-09-14 20:00,26679.9,0,0.463,弱突破平仓,否,,是,0.0,0.0,,,2023
880,2023-09-15 20:00,做空,26326.0,26326.0,是,0.0,301.1,1.144,26311.1,26206.6,26520.0,成交,弱突破,26326.0,26416.33,23166.88,2023-09-15 20:00,26311.1,0,0.049,弱突破平仓,否,,是,0.0,0.0,,,2023
881,2023-09-18 08:00,做多,26614.3,26614.3,是,0.0,220.95,0.83,26646.2,26358.6,26740.7,成交,弱突破,26614.3,26548.01,32469.45,2023-09-18 08:00,26646.2,0,0.144,弱突破平仓,否,,是,0.0,0.0,,,2023
882,2023-09-18 16:00,做多,26796.0,26614.3,是,0.678,229.85,0.858,27184.7,26666.4,27235.0,未成交,确认,26614.3,26545.34,32469.45,2023-09-19 08:00,26749.9,4,-1.624,KAMA跟踪止损,是,27258.8,否,2.94,-0.01,2.94,-1.624,2023
883,2023-09-21 00:00,做空,26923.3,26923.3,是,0.0,286.78,1.065,26916.6,26740.0,27297.9,成交,弱突破,26923.3,27009.33,23692.5,2023-09-21 00:00,26916.6,0,0.023,弱突破平仓,否,,是,0.0,0.0,,,2023
884,2023-09-21 16:00,做空,26740.0,26740.0,是,0.0,289.87,1.084,26722.7,26612.5,27008.0,成交,弱突破,26740.0,26826.96,23531.2,2023-09-21 16:00,26722.7,0,0.06,弱突破平仓,否,,是,0.0,0.0,,,2023
885,2023-09-21 20:00,做空,26612.5,26740.0,是,0.479,295.15,1.109,26567.7,26360.1,26769.8,成交,确认,26740.0,26828.54,23531.2,2023-09-25 00:00,26644.19,19,0.325,KAMA跟踪止损,否,,否,1.65,0.0,,,2023
886,2023-09-25 04:00,做空,26300.0,26529.6,是,0.873,185.64,0.706,26232.4,26081.0,26512.0,未成交,确认,26529.6,26585.29,23346.05,2023-09-25 20:00,26279.64,4,0.641,KAMA跟踪止损,是,26148.6,否,2.13,0.76,2.13,0.641,2023
887,2023-09-27 16:00,做多,26322.4,26322.4,是,0.0,188.15,0.715,26755.8,26209.0,26840.0,成交,确认,26322.4,26265.96,32113.33,2023-09-27 20:00,26265.96,1,-0.3,前3K止损,否,,是,2.0,-1.03,,,2023
888,2023-09-28 20:00,做多,26849.9,26849.9,是,0.0,231.13,0.861,27012.3,26450.0,27075.0,成交,确认,26849.9,26780.56,32756.88,2023-09-29 20:00,26849.9,6,0.0,KAMA跟踪止损,否,,否,1.71,-0.84,,,2023
889,2023-10-01 12:00,做多,27085.0,27085.0,是,0.0,216.85,0.801,27092.1,27004.2,27148.0,成交,弱突破,27085.0,27019.95,33043.7,2023-10-01 12:00,27092.1,0,0.033,弱突破平仓,否,,是,0.0,0.0,,,2023
890,2023-10-01 16:00,做多,27148.0,27085.0,是,0.232,213.19,0.785,27174.2,27070.5,27279.5,成交,弱突破,27085.0,27021.04,33043.7,2023-10-01 16:00,27174.2,0,0.418,弱突破平仓,否,,是,0.0,0.0,,,2023
891,2023-10-02 04:00,做多,27279.5,27279.5,是,0.0,205.51,0.753,27981.4,27015.0,28365.2,成交,确认,27279.5,27217.85,33280.99,2023-10-03 00:00,27886.92,5,1.847,KAMA跟踪止损,是,28114.8,否,4.89,1.23,,,2023
892,2023-10-08 08:00,做多,28018.7,28018.7,是,0.0,270.29,0.965,28049.9,27924.9,28082.0,成交,弱突破,28018.7,27937.61,34182.81,2023-10-08 08:00,28049.9,0,0.115,弱突破平仓,否,,是,0.0,0.0,,,2023
893,2023-10-08 16:00,做空,27831.8,27831.8,是,0.0,261.24,0.939,27799.2,27758.9,27927.0,成交,弱突破,27831.8,27910.17,24491.98,2023-10-08 16:00,27799.2,0,0.125,弱突破平仓,否,,是,0.0,0.0,,,2023
894,2023-10-09 16:00,做空,27671.0,27671.0,是,0.0,242.33,0.876,27455.9,27392.0,27834.8,成交,确认,27671.0,27743.7,24350.48,2023-10-10 08:00,27671.0,4,0.0,KAMA跟踪止损,否,,否,1.52,-0.25,,,2023
895,2023-10-11 08:00,做空,27281.0,27482.0,是,0.737,242.49,0.889,27000.7,27000.0,27467.6,未成交,确认,27482.0,27554.75,24184.16,2023-10-13 12:00,26919.17,13,2.707,KAMA跟踪止损,是,27012.8,否,3.48,0.59,3.48,2.707,2023
896,2023-10-16 00:00,做多,26958.0,26937.9,是,0.075,181.6,0.674,27030.1,26880.0,27073.0,成交,确认,26937.9,26883.42,32864.24,2023-10-17 12:00,28123.2,9,11.493,KAMA跟踪止损,是,27221.4,否,14.04,0.23,,,2023
897,2023-10-19 20:00,做多,28498.2,28423.4,是,0.262,339.03,1.19,28659.5,28402.2,28801.6,成交,确认,28423.4,28321.69,34676.55,2023-10-22 12:00,29703.08,16,5.191,KAMA跟踪止损,是,29222.8,否,6.86,0.05,,,2023
