序号,信号时间,方向,信号收盘价,6K极值,回调基准,ATR,挂单价格,成交,取消原因,成交时间,成交价格,入场价,紧止损价,确认阈值,止盈价,加仓阈值,确认,出场时间,出场价,出场类型,持仓K数,R值,前3K
291,2021/03/13 16:00,做多,59905.92,57840.0,57840.0,1420.3579281036727,59260.35792810367,是,,2021/03/13 20:00,59914.58,59914.58,59488.4726215689,60624.75896405184,70564.8,59970.536892155505,否,2021/03/13 20:00,59740.78,弱突破平仓,0,-0.12236352299736461,是
292,2021/03/14 00:00,做多,60804.75,60518.92,57840.0,1498.9785801135647,59338.978580113566,是,,2021/03/14 04:00,60805.52,60805.52,60355.826425965926,61555.009290056776,70564.8,60088.467870170345,否,2021/03/14 04:00,61267.41,弱突破平仓,0,0.30813649115987585,是
293,2021/03/16 08:00,做空,54330.15,54517.28,54517.28,1672.6876652204933,52844.5923347795,否,3K跌破基准,,,,,,,,,2021/03/16 20:00,,挂单取消,0,,
294,2021/03/18 00:00,做多,57897.1,57238.0,57238.0,1614.739048400414,58852.73904840041,是,,2021/03/18 04:00,58852.73904840041,58852.73904840041,58368.31733388029,59660.10857260062,69830.36,59660.10857260062,否,2021/03/18 04:00,58959.0,弱突破平仓,0,0.06580688793328568,是
295,2021/03/21 08:00,做空,57813.98,57881.0,57881.0,1413.2858766513725,56467.714123348625,是,,2021/03/21 16:00,56467.714123348625,56467.714123348625,56891.69988634404,55761.07118502294,50935.28,55761.07118502294,否,2021/03/21 16:00,56296.4,弱突破平仓,0,0.12121689332559822,是
296,2021/03/23 00:00,做空,55563.91,56329.98,56329.98,1343.6648562358196,54986.315143764186,是,,2021/03/23 04:00,54986.315143764186,54986.315143764186,55389.41460063493,54314.48271564628,49570.3824,54314.48271564627,是,2021/03/24 12:00,55582.4110683916,止损,8,-1.4753656641527089,否
297,2021/03/24 16:00,做多,56591.65,55890.68,55890.68,1385.846710346711,57276.52671034671,否,KAMA,,,,,,,,,2021/03/25 00:00,,挂单取消,0,,
298,2021/03/25 04:00,做空,52311.54,53600.0,53600.0,1385.306212033511,52214.69378796649,是,,2021/03/25 08:00,52214.69378796649,52214.69378796649,52630.285651576545,51522.04068194974,47168.0,51522.04068194974,否,2021/03/25 08:00,52128.62,弱突破平仓,0,0.0621334021451759,是
299,2021/03/25 20:00,做空,51024.33,51500.0,51500.0,1438.6708701151194,50061.32912988488,否,KAMA,,,,,,,,,2021/03/26 16:00,,挂单取消,0,,
300,2021/03/28 00:00,做多,55784.28,55555.55,55555.55,1340.5518490874165,56896.10184908742,否,KAMA,,,,,,,,,2021/03/29 00:00,,挂单取消,0,,
301,2021/03/29 16:00,做多,57893.21,56588.31,56588.31,1239.2767714722604,57827.586771472255,是,,2021/03/29 20:00,57892.33,57892.33,57520.54696855832,58511.96838573613,69037.73819999999,58447.22515720839,否,2021/03/29 20:00,57765.26,弱突破平仓,0,-0.1025356102245349,是
302,2021/03/30 16:00,做多,59326.4,58490.11,58490.11,1234.4626959774707,59724.57269597747,是,,2021/03/31 12:00,59724.57269597747,59724.57269597747,59354.23388718423,60341.80404396621,71357.9342,60341.80404396621,是,2021/03/31 12:00,58695.9,止损,0,-0.9999999999999983,是
303,2021/04/02 08:00,做多,59979.99,59592.22,59592.22,1173.0383238521117,60765.25832385211,否,3K跌破基准,,,,,,,,,2021/04/03 04:00,,挂单取消,0,,
