序号,信号时间,方向,6K极值,入场基准,基准类型,回调偏移%,ATR,ATR%,是否成交,是否确认,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,MFE%,MAE%,是否歧义,年份
693,2023-05-14 20:00,做多,27051.5,27051.5,回调基准,0.0,360.37,1.332,成交,弱突破,,,2023-05-14 20:00,27071.4,0,0.055,弱突破平仓,否,,0.0,0.0,否,2023
694,2023-05-15 08:00,做多,27200.0,27200.0,回调基准,0.0,350.75,1.29,成交,弱突破,,,2023-05-15 08:00,27216.3,0,0.046,弱突破平仓,否,,0.0,0.0,否,2023
695,2023-05-15 12:00,做多,27279.0,27200.0,回调基准,0.29,362.44,1.333,成交,确认,26837.56,33184.0,2023-05-16 04:00,27200.0,4,0.0,KAMA跟踪止损,否,,1.65,-0.37,否,2023
696,2023-05-17 12:00,做空,26862.0,26862.0,回调基准,0.0,328.81,1.224,成交,弱突破,,,2023-05-17 12:00,26831.9,0,0.092,弱突破平仓,否,,0.0,0.0,否,2023
697,2023-05-17 16:00,做空,26700.0,26862.0,回调基准,0.607,331.99,1.236,成交,确认,27193.99,23638.56,2023-05-18 00:00,27193.99,2,-1.0,前3K止损,否,,1.25,-2.16,否,2023
698,2023-05-19 00:00,做空,26730.0,26730.0,回调基准,0.0,331.83,1.241,成交,弱突破,,,2023-05-19 00:00,26719.3,0,0.032,弱突破平仓,否,,0.0,0.0,否,2023
699,2023-05-21 00:00,做多,26969.8,26966.8,回调基准,0.011,276.85,1.027,成交,弱突破,,,2023-05-21 00:00,27054.3,0,0.316,弱突破平仓,否,,0.0,0.0,否,2023
700,2023-05-21 08:00,做多,27144.4,27144.4,回退6K极值,,270.31,0.996,成交,弱突破,,,2023-05-21 08:00,27166.5,0,0.082,弱突破平仓,否,,0.0,0.0,否,2023
701,2023-05-21 16:00,做空,26841.8,26841.8,回调基准,0.0,262.04,0.976,成交,弱突破,,,2023-05-21 16:00,26818.1,0,0.09,弱突破平仓,否,,0.0,0.0,否,2023
702,2023-05-23 08:00,做多,27097.8,27097.8,回调基准,0.0,247.75,0.914,成交,确认,26850.05,33059.32,2023-05-24 00:00,27103.92,4,0.025,KAMA跟踪止损,否,,1.59,-0.07,否,2023
703,2023-05-24 08:00,做空,26782.6,26782.6,回调基准,0.0,251.45,0.939,成交,弱突破,,,2023-05-24 08:00,26770.0,0,0.05,弱突破平仓,否,,0.0,0.0,否,2023
704,2023-05-24 20:00,做空,26566.5,26566.5,回退6K极值,,262.02,0.986,成交,确认,26828.52,23378.52,2023-05-25 20:00,26406.18,6,-0.286,KAMA跟踪止损,是,26171.0,2.7,0.29,否,2023
705,2023-05-26 20:00,做多,26644.0,26644.0,回调基准,0.0,271.56,1.019,成交,弱突破,,,2023-05-26 20:00,26737.5,0,0.344,弱突破平仓,否,,0.0,0.0,否,2023
706,2023-05-28 08:00,做多,26890.0,26776.4,回调基准,0.422,246.74,0.921,成交,确认,26529.66,32667.21,2023-05-29 20:00,27724.61,9,5.892,KAMA跟踪止损,是,27218.9,6.22,1.14,否,2023
707,2023-05-30 16:00,做多,27966.7,27966.7,回调基准,0.0,292.24,1.045,成交,弱突破,,,2023-05-30 16:00,28005.9,0,0.134,弱突破平仓,否,,0.0,0.0,否,2023
708,2023-05-31 12:00,做空,27530.0,27530.0,回调基准,0.0,295.89,1.075,成交,确认,27825.89,24226.4,2023-06-02 12:00,27136.73,12,0.529,KAMA跟踪止损,是,26900.1,3.82,0.66,否,2023
709,2023-06-03 20:00,做多,27290.0,27290.0,回调基准,0.0,284.0,1.041,成交,弱突破,,,2023-06-03 20:00,27292.7,0,0.01,弱突破平仓,否,,0.0,0.0,否,2023
710,2023-06-05 08:00,做空,26935.3,26935.3,回调基准,0.0,254.61,0.945,成交,弱突破,,,2023-06-05 08:00,26835.9,0,0.39,弱突破平仓,否,,0.0,0.0,否,2023
711,2023-06-05 20:00,做空,26647.0,26647.0,回退6K极值,,250.92,0.942,成交,确认,26897.92,23449.36,2023-06-06 20:00,25848.69,6,2.264,KAMA跟踪止损,是,25618.5,4.97,1.91,否,2023
712,2023-06-07 00:00,做多,26139.0,26072.2,回调基准,0.256,310.7,1.192,成交,确认,25761.5,31808.08,2023-06-08 04:00,26161.77,7,-3.123,KAMA跟踪止损,是,27221.5,5.07,0.15,否,2023
713,2023-06-13 16:00,做多,26155.5,26097.7,回调基准,0.221,308.09,1.181,成交,弱突破,,,2023-06-13 16:00,26178.1,0,0.261,弱突破平仓,否,,0.0,0.0,否,2023
714,2023-06-15 04:00,做空,25750.0,25790.6,回调基准,0.158,288.03,1.117,成交,确认,26078.63,22695.73,2023-06-16 00:00,25289.78,5,0.923,KAMA跟踪止损,是,25054.8,3.93,1.06,否,2023
715,2023-06-16 20:00,做多,25750.0,25750.0,回调基准,0.0,307.84,1.195,成交,弱突破,,,2023-06-16 20:00,25832.4,0,0.268,弱突破平仓,否,,0.0,0.0,否,2023
716,2023-06-21 00:00,做多,27177.3,27177.3,回调基准,0.0,304.05,1.119,成交,确认,26873.25,33156.31,2023-06-22 16:00,29984.99,10,14.807,KAMA跟踪止损,是,28290.6,13.41,2.5,否,2023
717,2023-06-23 20:00,做多,30353.9,30353.9,回调基准,0.0,435.57,1.435,成交,确认,29918.33,37031.76,2023-06-24 20:00,30353.9,6,0.0,KAMA跟踪止损,否,,3.58,-0.3,否,2023
718,2023-06-27 16:00,做多,30667.3,30667.3,回调基准,0.0,405.42,1.322,成交,弱突破,,,2023-06-27 16:00,30720.1,0,0.13,弱突破平仓,否,,0.0,0.0,否,2023
719,2023-06-28 12:00,做空,30222.5,30222.5,回调基准,0.0,405.2,1.341,成交,弱突破,,,2023-06-28 12:00,30176.0,0,0.115,弱突破平仓,否,,0.0,0.0,否,2023
720,2023-06-29 16:00,做多,30485.0,30485.0,回调基准,0.0,390.45,1.281,成交,弱突破,,,2023-06-29 16:00,30660.6,0,0.45,弱突破平仓,否,,0.0,0.0,否,2023
721,2023-06-30 20:00,做空,30222.0,30222.0,回调基准,0.0,402.75,1.333,成交,弱突破,,,2023-06-30 20:00,30052.0,0,0.422,弱突破平仓,否,,0.0,0.0,否,2023
722,2023-07-03 20:00,做多,30800.0,30800.0,回调基准,0.0,325.71,1.058,成交,确认,30474.29,37576.0,2023-07-04 12:00,30863.4,4,0.195,KAMA跟踪止损,否,,1.93,0.03,否,2023
723,2023-07-05 00:00,做空,30810.2,30810.2,回调基准,0.0,337.23,1.095,成交,弱突破,,,2023-07-05 00:00,30685.3,0,0.37,弱突破平仓,否,,0.0,0.0,否,2023
724,2023-07-05 16:00,做空,30600.0,30600.0,回调基准,0.0,318.87,1.042,成交,确认,30918.87,26928.0,2023-07-06 12:00,30600.0,5,0.0,KAMA跟踪止损,否,,1.39,-0.81,否,2023
725,2023-07-11 00:00,做多,30359.7,30336.9,回调基准,0.075,267.52,0.882,成交,确认,30069.38,37011.02,2023-07-11 16:00,30460.54,4,0.462,KAMA跟踪止损,否,,2.32,-0.78,否,2023
726,2023-07-13 00:00,做空,30383.9,30383.9,回调基准,0.0,307.61,1.012,成交,弱突破,,,2023-07-13 00:00,30268.1,0,0.376,弱突破平仓,否,,0.0,0.0,否,2023
727,2023-07-16 08:00,做空,30220.2,30220.2,回调基准,0.0,328.74,1.088,成交,弱突破,,,2023-07-16 08:00,30174.1,0,0.14,弱突破平仓,否,,0.0,0.0,否,2023
728,2023-07-16 20:00,做多,30348.4,30348.4,回调基准,0.0,307.28,1.013,成交,弱突破,,,2023-07-16 20:00,30366.0,0,0.057,弱突破平仓,否,,0.0,0.0,否,2023
729,2023-07-18 00:00,做空,29910.0,30110.6,回调基准,0.671,284.08,0.943,成交,确认,30394.68,26497.33,2023-07-19 12:00,30110.6,9,0.0,KAMA跟踪止损,否,,2.36,-0.57,否,2023
730,2023-07-20 12:00,做多,30178.5,30178.5,回调基准,0.0,284.78,0.944,成交,弱突破,,,2023-07-20 12:00,30195.5,0,0.06,弱突破平仓,否,,0.0,0.0,否,2023
731,2023-07-23 04:00,做空,29783.6,29819.4,回调基准,0.12,238.54,0.8,成交,弱突破,,,2023-07-23 04:00,29783.5,0,0.15,弱突破平仓,否,,0.0,0.0,否,2023
732,2023-07-24 00:00,做多,29974.6,29892.5,回调基准,0.274,215.48,0.721,成交,确认,29677.02,36468.85,2023-07-24 08:00,29677.02,2,-1.0,前3K止损,否,,0.81,-0.81,否,2023
733,2023-07-28 00:00,做空,29172.0,29172.0,回调基准,0.0,234.73,0.805,成交,弱突破,,,2023-07-28 00:00,29152.6,0,0.083,弱突破平仓,否,,0.0,0.0,否,2023
734,2023-07-31 00:00,做空,29211.2,29276.0,回调基准,0.222,165.53,0.565,成交,确认,29441.53,25762.88,2023-07-31 08:00,29441.53,2,-1.0,前3K止损,否,,0.92,-0.85,否,2023
735,2023-08-01 08:00,做空,29100.0,29250.0,回调基准,0.515,176.84,0.605,成交,确认,29426.84,25740.0,2023-08-02 00:00,29217.45,4,-1.491,KAMA跟踪止损,是,28921.2,2.39,-0.27,否,2023
736,2023-08-02 04:00,做多,29337.3,29337.3,回调基准,0.0,221.13,0.754,成交,确认,29116.17,35791.51,2023-08-02 20:00,29337.3,4,0.0,KAMA跟踪止损,否,,2.46,-0.62,否,2023
737,2023-08-05 00:00,做空,29079.6,29079.6,回调基准,0.0,234.86,0.808,成交,弱突破,,,2023-08-05 00:00,29021.0,0,0.25,弱突破平仓,否,,0.0,0.0,否,2023
738,2023-08-07 20:00,做空,28978.5,28978.5,回调基准,0.0,172.26,0.594,成交,确认,29150.76,25501.08,2023-08-08 00:00,29150.76,1,-1.0,前3K止损,否,,1.02,-0.68,否,2023
739,2023-08-08 16:00,做多,29330.0,29330.0,回退6K极值,,191.23,0.652,成交,确认,29138.77,35782.6,2023-08-10 00:00,29593.91,8,-0.045,KAMA跟踪止损,是,29866.4,3.14,0.02,否,2023
740,2023-08-14 04:00,做空,29316.2,29343.8,回调基准,0.094,141.79,0.483,成交,弱突破,,,2023-08-14 04:00,29293.3,0,0.356,弱突破平仓,否,,0.0,0.0,否,2023
741,2023-08-14 20:00,做多,29486.0,29463.0,回调基准,0.078,148.56,0.504,成交,确认,29314.44,35944.86,2023-08-15 00:00,29314.44,1,-1.0,前3K止损,否,,0.76,-0.78,否,2023
742,2023-08-16 00:00,做空,29233.0,29233.0,回调基准,0.0,162.37,0.555,成交,弱突破,,,2023-08-16 00:00,29172.4,0,0.373,弱突破平仓,否,,0.0,0.0,否,2023
743,2023-08-17 04:00,做空,28940.0,28940.0,回退6K极值,,166.04,0.574,成交,确认,29106.04,25467.2,2023-08-18 04:00,25467.2,6,40.045,止盈,是,28643.5,15.06,0.57,否,2023
744,2023-08-23 00:00,做空,25900.0,25921.1,回调基准,0.081,256.04,0.988,成交,确认,26177.14,22810.57,2023-08-23 16:00,26045.3,4,-0.485,KAMA跟踪止损,否,,2.47,-0.99,否,2023
745,2023-08-24 00:00,做多,26187.0,26177.0,回调基准,0.038,280.31,1.071,成交,确认,25896.69,31935.94,2023-08-24 20:00,26177.0,5,0.0,KAMA跟踪止损,否,,2.05,-0.78,否,2023
746,2023-08-27 20:00,做多,26087.7,26070.0,回调基准,0.068,202.35,0.776,成交,弱突破,,,2023-08-27 20:00,26110.8,0,0.202,弱突破平仓,否,,0.0,0.0,否,2023
747,2023-08-28 12:00,做空,25970.3,26009.6,回调基准,0.151,188.07,0.723,成交,弱突破,,,2023-08-28 12:00,25923.0,0,0.46,弱突破平仓,否,,0.0,0.0,否,2023
748,2023-08-29 20:00,做多,26244.6,26244.6,回调基准,0.0,186.39,0.71,成交,确认,26058.21,32018.41,2023-08-30 20:00,27086.44,6,0.581,KAMA跟踪止损,是,27820.0,7.33,2.69,否,2023
749,2023-08-31 20:00,做空,26950.0,26950.0,回调基准,0.0,284.06,1.054,成交,弱突破,,,2023-08-31 20:00,26909.5,0,0.143,弱突破平仓,否,,0.0,0.0,否,2023
750,2023-09-06 20:00,做空,25610.0,25610.0,回调基准,0.0,208.28,0.813,成交,弱突破,,,2023-09-06 20:00,25576.3,0,0.162,弱突破平仓,否,,0.0,0.0,否,2023
751,2023-09-11 20:00,做空,25508.7,25508.7,回调基准,0.0,196.8,0.771,成交,确认,25705.5,22447.66,2023-09-12 08:00,25705.5,3,-4.543,前3K止损,是,25008.3,2.43,-1.73,否,2023
752,2023-09-12 16:00,做多,25989.6,25817.9,回调基准,0.661,271.18,1.05,成交,确认,25546.72,31497.84,2023-09-13 08:00,25817.9,4,0.0,KAMA跟踪止损,否,,2.95,-0.26,否,2023
753,2023-09-14 20:00,做多,26536.7,26536.7,回调基准,0.0,309.28,1.165,成交,弱突破,,,2023-09-14 20:00,26679.9,0,0.463,弱突破平仓,否,,0.0,0.0,否,2023
754,2023-09-15 20:00,做空,26326.0,26326.0,回调基准,0.0,301.1,1.144,成交,弱突破,,,2023-09-15 20:00,26311.1,0,0.049,弱突破平仓,否,,0.0,0.0,否,2023
755,2023-09-18 08:00,做多,26614.3,26614.3,回调基准,0.0,220.95,0.83,成交,弱突破,,,2023-09-18 08:00,26646.2,0,0.144,弱突破平仓,否,,0.0,0.0,否,2023
756,2023-09-21 00:00,做空,26923.3,26923.3,回调基准,0.0,286.78,1.065,成交,弱突破,,,2023-09-21 00:00,26916.6,0,0.023,弱突破平仓,否,,0.0,0.0,否,2023
757,2023-09-21 16:00,做空,26740.0,26740.0,回调基准,0.0,289.87,1.084,成交,弱突破,,,2023-09-21 16:00,26722.7,0,0.06,弱突破平仓,否,,0.0,0.0,否,2023
758,2023-09-21 20:00,做空,26612.5,26740.0,回调基准,0.479,295.15,1.104,成交,确认,27035.15,23531.2,2023-09-25 00:00,26644.19,19,0.325,KAMA跟踪止损,否,,1.65,0.0,否,2023
759,2023-09-27 16:00,做多,26322.4,26322.4,回调基准,0.0,188.15,0.715,成交,确认,26134.25,32113.33,2023-09-27 20:00,26134.25,1,-1.0,前3K止损,否,,2.0,-1.03,否,2023
760,2023-09-28 20:00,做多,26849.9,26849.9,回调基准,0.0,231.13,0.861,成交,确认,26618.77,32756.88,2023-09-29 20:00,26849.9,6,0.0,KAMA跟踪止损,否,,1.71,-0.84,否,2023
761,2023-10-01 12:00,做多,27085.0,27085.0,回调基准,0.0,216.85,0.801,成交,弱突破,,,2023-10-01 12:00,27092.1,0,0.033,弱突破平仓,否,,0.0,0.0,否,2023
762,2023-10-01 16:00,做多,27148.0,27085.0,回调基准,0.232,213.19,0.787,成交,弱突破,,,2023-10-01 16:00,27174.2,0,0.418,弱突破平仓,否,,0.0,0.0,否,2023
763,2023-10-02 04:00,做多,27279.5,27279.5,回调基准,0.0,205.51,0.753,成交,确认,27073.99,33280.99,2023-10-03 00:00,27886.92,5,1.847,KAMA跟踪止损,是,28114.8,4.89,1.23,否,2023
764,2023-10-08 08:00,做多,28018.7,28018.7,回调基准,0.0,270.29,0.965,成交,弱突破,,,2023-10-08 08:00,28049.9,0,0.115,弱突破平仓,否,,0.0,0.0,否,2023
765,2023-10-08 16:00,做空,27831.8,27831.8,回调基准,0.0,261.24,0.939,成交,弱突破,,,2023-10-08 16:00,27799.2,0,0.125,弱突破平仓,否,,0.0,0.0,否,2023
766,2023-10-09 16:00,做空,27671.0,27671.0,回调基准,0.0,242.33,0.876,成交,确认,27913.33,24350.48,2023-10-10 08:00,27671.0,4,0.0,KAMA跟踪止损,否,,1.52,-0.25,否,2023
767,2023-10-16 00:00,做多,26958.0,26937.9,回调基准,0.075,181.6,0.674,成交,确认,26756.3,32864.24,2023-10-17 12:00,28123.2,9,11.493,KAMA跟踪止损,是,27221.4,14.04,0.23,否,2023
768,2023-10-19 20:00,做多,28498.2,28423.4,回调基准,0.262,339.03,1.193,成交,确认,28084.37,34676.55,2023-10-22 12:00,29703.08,16,5.191,KAMA跟踪止损,是,29222.8,6.86,0.05,否,2023
769,2023-10-23 08:00,做多,30229.7,30229.7,回调基准,0.0,354.59,1.173,成交,确认,29875.11,36880.23,2023-10-24 20:00,33497.68,9,16.643,KAMA跟踪止损,是,30864.1,19.03,0.34,否,2023
770,2023-10-28 00:00,做空,33750.0,33750.0,回调基准,0.0,630.5,1.868,成交,弱突破,,,2023-10-28 00:00,33705.5,0,0.071,弱突破平仓,否,,0.0,0.0,否,2023
771,2023-11-01 04:00,做多,34632.0,34620.7,回调基准,0.033,438.76,1.267,成交,弱突破,,,2023-11-01 04:00,34651.4,0,0.07,弱突破平仓,否,,0.0,0.0,否,2023
772,2023-11-02 04:00,做多,35249.0,34744.7,回调基准,1.431,439.81,1.266,成交,确认,34304.89,42388.53,2023-11-02 20:00,34744.7,4,-1.895,KAMA跟踪止损,是,35578.0,3.61,-0.61,否,2023
773,2023-11-03 16:00,做空,34300.0,34300.0,回调基准,0.0,508.75,1.483,成交,弱突破,,,2023-11-03 16:00,34265.5,0,0.068,弱突破平仓,否,,0.0,0.0,否,2023
774,2023-11-05 08:00,做多,35270.0,35111.0,回调基准,0.451,449.38,1.28,成交,弱突破,,,2023-11-05 08:00,35292.1,0,0.403,弱突破平仓,否,,0.0,0.0,否,2023
775,2023-11-07 16:00,做空,34808.0,34808.0,回退6K极值,,404.79,1.163,成交,弱突破,,,2023-11-07 16:00,34633.3,0,0.432,弱突破平仓,否,,0.0,0.0,否,2023
776,2023-11-08 00:00,做多,35172.9,35172.9,回调基准,0.0,402.48,1.144,成交,确认,34770.42,42910.94,2023-11-08 20:00,35172.9,5,0.0,KAMA跟踪止损,否,,2.13,-0.28,否,2023
777,2023-11-09 08:00,做多,36150.0,36150.0,回退6K极值,,441.75,1.222,成交,确认,35708.25,44103.0,2023-11-10 00:00,36271.83,4,-0.958,KAMA跟踪止损,是,36816.9,6.5,-2.34,否,2023
778,2023-11-14 04:00,做空,36546.5,36546.5,回退6K极值,,445.43,1.219,成交,弱突破,,,2023-11-14 04:00,36486.2,0,0.135,弱突破平仓,否,,0.0,0.0,否,2023
779,2023-11-14 20:00,做空,36220.4,36220.4,回调基准,0.0,442.15,1.221,成交,弱突破,,,2023-11-14 20:00,36168.7,0,0.117,弱突破平仓,否,,0.0,0.0,否,2023
780,2023-11-15 00:00,做空,35665.2,36220.4,回调基准,1.557,472.78,1.305,成交,确认,36693.18,31873.95,2023-11-15 16:00,35946.6,4,-0.559,KAMA跟踪止损,是,35408.4,2.73,-0.21,否,2023
781,2023-11-16 00:00,做多,36449.0,36449.0,回调基准,0.0,523.19,1.435,成交,确认,35925.81,44467.78,2023-11-16 20:00,36449.0,5,-2.746,KAMA跟踪止损,是,37885.6,4.26,-0.54,否,2023
782,2023-11-17 00:00,做空,36251.0,36256.0,回调基准,0.014,588.2,1.622,成交,确认,36844.2,31905.28,2023-11-17 16:00,36256.0,4,0.0,KAMA跟踪止损,否,,1.61,-1.19,否,2023
783,2023-11-20 00:00,做多,36900.0,36900.0,回调基准,0.0,468.18,1.269,成交,弱突破,,,2023-11-20 00:00,36961.9,0,0.132,弱突破平仓,否,,0.0,0.0,否,2023
784,2023-11-21 00:00,做多,37528.2,37528.2,回调基准,0.0,481.0,1.282,成交,弱突破,,,2023-11-21 00:00,37584.5,0,0.117,弱突破平仓,否,,0.0,0.0,否,2023
785,2023-11-22 04:00,做空,36212.2,36212.2,回退6K极值,,519.93,1.436,成交,确认,36732.13,31866.74,2023-11-22 16:00,36732.13,3,-1.0,前3K止损,否,,1.66,-1.57,否,2023
786,2023-11-24 16:00,做多,37650.0,37650.0,回调基准,0.0,499.05,1.326,成交,弱突破,,,2023-11-24 16:00,37749.7,0,0.2,弱突破平仓,否,,0.0,0.0,否,2023
787,2023-11-28 20:00,做多,37338.0,37338.0,回调基准,0.0,394.85,1.058,成交,弱突破,,,2023-11-28 20:00,37502.2,0,0.416,弱突破平仓,否,,0.0,0.0,否,2023
788,2023-12-01 12:00,做多,38132.0,38132.0,回调基准,0.0,415.21,1.089,成交,弱突破,,,2023-12-01 12:00,38234.9,0,0.248,弱突破平仓,否,,0.0,0.0,否,2023
789,2023-12-06 00:00,做多,42542.0,42440.0,回调基准,0.24,536.89,1.265,成交,确认,41903.11,51776.8,2023-12-07 16:00,43530.12,10,1.003,KAMA跟踪止损,是,44081.7,4.92,0.88,否,2023
790,2023-12-09 04:00,做多,44081.6,44081.6,回退6K极值,,587.86,1.334,成交,弱突破,,,2023-12-09 04:00,44209.5,0,0.218,弱突破平仓,否,,0.0,0.0,否,2023
791,2023-12-10 04:00,做空,43749.1,43967.7,回调基准,0.5,537.43,1.222,成交,弱突破,,,2023-12-10 04:00,43734.3,0,0.434,弱突破平仓,否,,0.0,0.0,否,2023
792,2023-12-11 08:00,做空,43552.5,43624.0,回调基准,0.164,482.71,1.107,成交,确认,44106.71,38389.12,2023-12-12 12:00,42077.24,7,3.309,KAMA跟踪止损,是,42128.0,7.78,2.6,否,2023
793,2023-12-18 04:00,做空,41496.0,41496.0,回退6K极值,,599.18,1.444,成交,弱突破,,,2023-12-18 04:00,41396.5,0,0.166,弱突破平仓,否,,0.0,0.0,否,2023
794,2023-12-18 08:00,做空,41248.3,41248.3,回退6K极值,,618.15,1.499,成交,弱突破,,,2023-12-18 08:00,41107.0,0,0.229,弱突破平仓,否,,0.0,0.0,否,2023
795,2023-12-19 04:00,做多,42226.8,42226.8,回调基准,0.0,622.44,1.474,成交,确认,41604.36,51516.7,2023-12-20 00:00,42226.8,5,0.0,KAMA跟踪止损,否,,3.13,-0.93,否,2023
796,2023-12-20 20:00,做多,43068.5,43068.5,回调基准,0.0,611.7,1.42,成交,确认,42456.8,52543.57,2023-12-23 12:00,43376.86,16,-0.587,KAMA跟踪止损,是,44044.3,3.29,0.44,否,2023
797,2023-12-25 04:00,做空,43421.0,43421.0,回调基准,0.0,486.21,1.12,成交,确认,43907.21,38210.48,2023-12-25 20:00,43345.73,4,0.155,KAMA跟踪止损,否,,1.53,-0.99,否,2023
798,2023-12-26 12:00,做空,43083.2,43083.2,回调基准,0.0,475.89,1.105,成交,确认,43559.09,37913.22,2023-12-27 16:00,42953.0,7,-1.415,KAMA跟踪止损,是,42149.2,3.45,-0.45,否,2023
799,2024-01-02 00:00,做多,42887.5,42832.0,回调基准,0.129,496.19,1.158,成交,确认,42335.81,52255.04,2024-01-03 00:00,44828.71,6,5.23,KAMA跟踪止损,是,44230.2,7.28,1.39,否,2024
800,2024-01-03 16:00,做空,44598.0,44598.0,回调基准,0.0,604.79,1.356,成交,确认,45202.79,39246.24,2024-01-04 20:00,43547.62,7,0.854,KAMA跟踪止损,是,43014.0,9.56,0.57,否,2024
801,2024-01-08 08:00,做空,43557.5,43824.2,回调基准,0.612,678.76,1.549,成交,弱突破,,,2024-01-08 08:00,43501.9,0,0.475,弱突破平仓,否,,0.0,0.0,否,2024
802,2024-01-08 16:00,做多,44486.9,44486.9,回调基准,0.0,702.04,1.578,成交,弱突破,,,2024-01-08 16:00,44637.2,0,0.214,弱突破平仓,否,,0.0,0.0,否,2024
803,2024-01-08 20:00,做多,44748.5,44486.9,回调基准,0.585,722.88,1.625,成交,确认,43764.02,54274.02,2024-01-09 20:00,45839.52,6,0.257,KAMA跟踪止损,是,47006.7,6.35,0.67,否,2024
804,2024-01-12 20:00,做空,45527.5,45600.0,回调基准,0.159,1067.31,2.341,成交,确认,46667.31,40128.0,2024-01-14 12:00,43061.01,10,2.788,KAMA跟踪止损,是,43497.5,9.28,1.93,否,2024
805,2024-01-15 04:00,做空,42553.0,42553.0,回调基准,0.0,883.46,2.076,成交,确认,43436.46,37446.64,2024-01-15 20:00,42700.0,4,-0.166,KAMA跟踪止损,否,,1.96,-0.98,否,2024
806,2024-01-19 00:00,做空,42200.0,42200.0,回调基准,0.0,640.17,1.517,成交,确认,42840.17,37136.0,2024-01-20 04:00,42035.34,7,-1.282,KAMA跟踪止损,是,41049.8,4.5,0.01,否,2024
807,2024-01-22 08:00,做空,41500.0,41544.0,回调基准,0.106,493.07,1.187,成交,确认,42037.07,36558.72,2024-01-24 04:00,39604.71,11,6.306,KAMA跟踪止损,是,40774.7,7.22,0.5,否,2024
808,2024-01-26 16:00,做多,40300.0,40300.0,回调基准,0.0,573.15,1.422,成交,确认,39726.85,49166.0,2024-01-29 00:00,41934.5,14,3.785,KAMA跟踪止损,是,41399.8,6.29,1.46,否,2024
809,2024-01-29 20:00,做多,42525.0,42525.0,回调基准,0.0,509.76,1.199,成交,弱突破,,,2024-01-29 20:00,42623.2,0,0.193,弱突破平仓,否,,0.0,0.0,否,2024
810,2024-01-31 16:00,做空,42634.3,42634.3,回退6K极值,,533.29,1.251,成交,弱突破,,,2024-01-31 16:00,42630.2,0,0.008,弱突破平仓,否,,0.0,0.0,否,2024
811,2024-02-01 08:00,做空,42257.6,42341.0,回调基准,0.197,598.15,1.413,成交,确认,42939.15,37260.08,2024-02-02 00:00,42500.0,4,-0.266,KAMA跟踪止损,否,,1.1,-2.24,否,2024
812,2024-02-04 12:00,做空,42858.3,42858.3,回调基准,0.0,468.16,1.092,成交,弱突破,,,2024-02-04 12:00,42822.9,0,0.076,弱突破平仓,否,,0.0,0.0,否,2024
813,2024-02-05 00:00,做空,42702.4,42702.4,回调基准,0.0,448.44,1.05,成交,弱突破,,,2024-02-05 00:00,42623.9,0,0.175,弱突破平仓,否,,0.0,0.0,否,2024
814,2024-02-05 16:00,做多,43168.4,43112.1,回调基准,0.13,469.36,1.089,成交,弱突破,,,2024-02-05 16:00,43180.8,0,0.146,弱突破平仓,否,,0.0,0.0,否,2024
815,2024-02-08 00:00,做多,43378.8,43378.8,回调基准,0.0,448.86,1.035,成交,弱突破,,,2024-02-08 00:00,43596.1,0,0.484,弱突破平仓,否,,0.0,0.0,否,2024
816,2024-02-11 04:00,做多,47671.7,47671.7,回调基准,0.0,561.03,1.177,成交,弱突破,,,2024-02-11 04:00,47732.6,0,0.109,弱突破平仓,否,,0.0,0.0,否,2024
817,2024-02-12 20:00,做多,48846.0,48469.3,回调基准,0.771,592.21,1.222,成交,确认,47877.09,59132.55,2024-02-13 20:00,48837.18,6,-0.576,KAMA跟踪止损,是,49545.9,4.04,-0.23,否,2024
818,2024-02-14 16:00,做多,50290.0,50290.0,回调基准,0.0,714.27,1.42,成交,确认,49575.73,61353.8,2024-02-17 20:00,51401.34,19,1.255,KAMA跟踪止损,是,51616.4,5.11,0.71,否,2024
819,2024-02-19 04:00,做多,52109.0,52109.0,回调基准,0.0,657.0,1.261,成交,弱突破,,,2024-02-19 04:00,52175.9,0,0.102,弱突破平仓,否,,0.0,0.0,否,2024
820,2024-02-23 12:00,做空,50967.5,50967.5,回调基准,0.0,712.46,1.398,成交,弱突破,,,2024-02-23 12:00,50952.3,0,0.021,弱突破平仓,否,,0.0,0.0,否,2024
821,2024-02-25 00:00,做多,51228.6,51228.6,回调基准,0.0,594.79,1.161,成交,确认,50633.81,62498.89,2024-02-25 20:00,51489.83,5,0.439,KAMA跟踪止损,否,,1.41,0.46,否,2024
822,2024-02-26 16:00,做空,51300.4,51300.4,回调基准,0.0,510.62,0.995,成交,弱突破,,,2024-02-26 16:00,51126.4,0,0.341,弱突破平仓,否,,0.0,0.0,否,2024
823,2024-02-26 20:00,做多,52050.0,52050.0,回调基准,0.0,510.42,0.981,成交,确认,51539.58,63501.0,2024-02-29 00:00,63501.0,13,40.008,止盈,是,54531.3,23.54,1.4,否,2024
824,2024-03-04 00:00,做多,62720.0,62276.6,回调基准,0.707,1023.59,1.644,成交,确认,61253.01,75977.45,2024-03-05 12:00,67361.57,9,8.134,KAMA跟踪止损,是,64120.6,10.51,0.04,否,2024
825,2024-03-06 00:00,做空,65021.1,66100.0,回调基准,1.659,1404.28,2.124,成交,确认,67504.28,58168.0,2024-03-06 16:00,66759.3,4,-2.614,KAMA跟踪止损,是,63747.4,7.41,-2.47,否,2024
