序号,信号时间,方向,入场线类型,成交价,ATR,ATR%,EMA70偏离度%,突破K数,前3K方向涨幅%,量比,状态,不做原因,是否确认,是否加仓,加仓价,出场时间,出场价,持仓K数,底仓R值,加仓R值,R值,基础档位,出场原因,年份
1652,2023-10-20 16:00,做多,6K极值,29395.2,339.25,1.161,6.62,22,1.71,3.35,未做,持仓中跳过,确认,是,29925.4,2023-10-22 12:00,29705.02,11,0.913,-0.542,0.372,,KAMA跟踪止损,2023
1653,2023-10-20 08:00,做多,6K极值,28889.52,316.43,1.103,4.93,20,0.92,2.04,未做,持仓中跳过,确认,是,29827.15,2023-10-22 12:00,29705.02,13,2.577,-0.097,2.48,,KAMA跟踪止损,2023
1654,2023-10-19 20:00,做多,6K极值,28498.2,306.79,1.079,3.97,7,0.46,1.48,做上,,确认,是,29223.52,2023-10-22 12:00,29705.02,16,3.934,0.467,4.4,2.0x,KAMA跟踪止损,2023
1655,2023-10-19 16:00,做多,6K极值,28404.3,310.8,1.098,3.54,5,0.3,0.55,做上,,弱突破,,,2023-10-19 16:00,28436.1,0,0.102,,0.102,2.0x,弱突破平仓,2023
1656,2023-10-18 20:00,做空,6K极值,28242.19,340.25,1.201,3.73,5,0.19,0.79,做上,,弱突破,,,2023-10-18 20:00,28235.3,0,0.02,,0.02,1.5x,弱突破平仓,2023
1657,2023-10-16 20:00,做多,6K极值,27967.3,212.31,0.765,1.79,49,2.2,13.57,未做,持仓中跳过,弱突破,,,2023-10-16 20:00,28054.0,0,0.408,,0.408,,弱突破平仓,2023
1658,2023-10-16 12:00,做多,6K极值,27281.9,179.39,0.659,-0.1,40,1.25,5.1,做上,,确认,是,27737.4,2023-10-17 12:00,28128.46,6,4.719,0.616,5.335,2.0x,KAMA跟踪止损,2023
1659,2023-10-16 04:00,做多,6K极值,27073.0,174.39,0.645,-0.67,25,0.59,2.79,做上,,弱突破,,,2023-10-16 04:00,27140.01,0,0.384,,0.384,2.0x,弱突破平仓,2023
1660,2023-10-16 00:00,做多,6K极值,26950.7,173.46,0.645,-1.21,10,0.05,1.23,做上,,弱突破,,,2023-10-16 00:00,27032.56,0,0.472,,0.472,2.0x,弱突破平仓,2023
1661,2023-10-13 20:00,做空,6K极值,26726.38,222.11,0.828,-1.53,3,-0.23,1.18,做上,,弱突破,,,2023-10-13 20:00,26698.39,0,0.126,,0.126,1.5x,弱突破平仓,2023
1662,2023-10-11 20:00,做空,6K极值,26964.46,241.44,0.888,-0.25,70,0.72,2.28,未做,持仓中跳过,确认,,,2023-10-13 12:00,26922.78,10,0.173,,0.173,,KAMA跟踪止损,2023
1663,2023-10-11 08:00,做空,6K极值,27284.91,229.51,0.838,0.43,59,0.43,1.88,做上,,确认,是,26770.1,2023-10-13 12:00,26922.78,13,1.578,-0.205,1.373,1.5x,KAMA跟踪止损,2023
1664,2023-10-10 20:00,做空,6K极值,27488.7,232.01,0.844,0.86,4,0.29,2.87,做上,,弱突破,,,2023-10-10 20:00,27395.5,0,0.402,,0.402,1.5x,弱突破平仓,2023
1665,2023-10-09 16:00,做空,6K极值,27784.93,226.3,0.814,1.99,16,0.29,2.39,做上,,确认,是,27433.1,2023-10-10 16:00,27720.9,6,0.283,-0.498,-0.215,1.5x,KAMA跟踪止损,2023
1666,2023-10-08 16:00,做空,基准值,27839.75,241.56,0.866,2.36,9,-0.16,0.64,未做,持仓中跳过,弱突破,,,2023-10-08 16:00,27800.7,0,0.162,,0.162,,弱突破平仓,2023
1667,2023-10-08 08:00,做多,基准值,27974.95,248.82,0.89,2.61,6,0.05,0.45,未做,持仓中跳过,弱突破,,,2023-10-08 08:00,28049.9,0,0.301,,0.301,,弱突破平仓,2023
1668,2023-10-08 00:00,做空,基准值,27860.63,263.65,0.944,2.55,3,-0.13,0.36,未做,持仓中跳过,弱突破,,,2023-10-08 00:00,27849.7,0,0.041,,0.041,,弱突破平仓,2023
1669,2023-10-06 20:00,做多,6K极值,27784.9,268.63,0.968,1.95,5,1.26,3.83,做上,,确认,,,2023-10-08 16:00,27858.06,11,0.272,,0.272,2.0x,KAMA跟踪止损,2023
1670,2023-10-06 16:00,做多,6K极值,27641.0,271.69,0.983,1.53,4,0.62,1.06,做上,,弱突破,,,2023-10-06 16:00,27742.7,0,0.374,,0.374,2.0x,弱突破平仓,2023
1671,2023-10-06 12:00,做多,基准值,27607.6,276.06,1.002,1.23,3,0.02,0.55,做上,,弱突破,,,2023-10-06 12:00,27627.0,0,0.07,,0.07,2.0x,弱突破平仓,2023
1672,2023-10-04 16:00,做多,6K极值,27493.6,276.24,1.007,0.95,4,0.67,0.72,未做,持仓中跳过,弱突破,,,2023-10-04 16:00,27560.06,0,0.241,,0.241,,弱突破平仓,2023
1673,2023-10-03 20:00,做空,基准值,27369.66,286.28,1.039,1.4,3,-0.24,1.79,未做,持仓中跳过,弱突破,,,2023-10-03 20:00,27334.8,0,0.122,,0.122,,弱突破平仓,2023
1674,2023-10-03 04:00,做空,6K极值,27627.62,283.2,1.013,2.93,5,1.22,1.78,做上,,确认,,,2023-10-04 16:00,27593.93,9,0.119,,0.119,1.5x,KAMA跟踪止损,2023
1675,2023-10-02 12:00,做多,6K极值,28181.77,242.3,0.862,3.52,273,3.61,2.32,未做,持仓中跳过,弱突破,,,2023-10-02 12:00,28300.0,0,0.488,,0.488,,弱突破平仓,2023
1676,2023-10-02 08:00,做多,6K极值,28072.41,236.01,0.843,3.05,199,2.96,1.63,未做,持仓中跳过,弱突破,,,2023-10-02 08:00,28117.4,0,0.191,,0.191,,弱突破平仓,2023
1677,2023-10-02 04:00,做多,基准值,27277.3,193.14,0.713,-0.22,198,-0.01,3.08,做上,,确认,是,28117.4,2023-10-03 00:00,27889.96,5,3.172,-0.22,2.952,2.0x,KAMA跟踪止损,2023
1678,2023-10-01 16:00,做多,6K极值,27141.0,200.41,0.74,-0.21,12,0.31,0.95,做上,,弱突破,,,2023-10-01 16:00,27175.46,0,0.172,,0.172,2.0x,弱突破平仓,2023
1679,2023-10-01 12:00,做多,6K极值,27070.4,204.03,0.755,-0.44,10,0.17,0.47,做上,,弱突破,,,2023-10-01 12:00,27094.7,0,0.119,,0.119,2.0x,弱突破平仓,2023
1680,2023-09-29 00:00,做多,6K极值,27041.24,235.15,0.871,-0.48,44,2.44,2.82,未做,持仓中跳过,弱突破,,,2023-09-29 00:00,27086.9,0,0.194,,0.194,,弱突破平仓,2023
1681,2023-09-28 20:00,做多,6K极值,26600.41,216.52,0.818,-2.49,43,0.4,3.1,未做,持仓中跳过,确认,是,27086.9,2023-09-29 20:00,26722.22,6,0.563,-0.519,0.044,,KAMA跟踪止损,2023
1682,2023-09-27 16:00,做多,6K极值,26281.2,177.41,0.676,-3.34,34,-0.02,3.52,做上,,确认,是,27009.6,2023-09-29 20:00,26722.22,13,2.486,-0.422,2.064,2.0x,KAMA跟踪止损,2023
1683,2023-09-26 20:00,做空,6K极值,26177.95,188.04,0.716,-3.32,5,0.1,2.07,做上,,弱突破,,,2023-09-26 20:00,26116.51,0,0.327,,0.327,1.5x,弱突破平仓,2023
1684,2023-09-26 00:00,做多,6K极值,26287.9,197.09,0.751,-3.54,3,0.31,2.1,做上,,弱突破,,,2023-09-26 00:00,26316.27,0,0.144,,0.144,2.0x,弱突破平仓,2023
1685,2023-09-25 04:00,做空,6K极值,26353.71,174.54,0.66,-2.88,55,0.44,1.76,做上,,确认,是,26064.5,2023-09-25 20:00,26280.09,4,0.422,-0.465,-0.043,1.5x,KAMA跟踪止损,2023
1686,2023-09-25 00:00,做空,基准值,26535.7,163.86,0.617,-2.4,18,-0.02,2.66,未做,持仓中跳过,确认,是,26237.85,2023-09-25 20:00,26280.09,5,1.56,-0.091,1.468,,KAMA跟踪止损,2023
1687,2023-09-24 00:00,做多,6K极值,26583.7,204.4,0.769,-2.5,3,0.18,0.3,未做,持仓中跳过,弱突破,,,2023-09-24 00:00,26596.17,0,0.061,,0.061,,弱突破平仓,2023
1688,2023-09-23 00:00,做空,6K极值,26548.7,250.17,0.94,-2.38,3,-0.01,0.45,未做,持仓中跳过,弱突破,,,2023-09-23 00:00,26528.55,0,0.081,,0.081,,弱突破平仓,2023
1689,2023-09-21 20:00,做空,6K极值,26624.38,281.67,1.054,-2.07,19,1.43,1.71,未做,持仓中跳过,弱突破,,,2023-09-21 20:00,26568.94,0,0.197,,0.197,,弱突破平仓,2023
1690,2023-09-21 16:00,做空,基准值,26911.61,276.31,1.024,-1.13,13,-0.23,1.43,做上,,确认,是,26436.08,2023-09-25 00:00,26643.09,20,0.972,-1.0,-0.028,1.5x,KAMA跟踪止损,2023
1691,2023-09-21 00:00,做空,基准值,26930.48,274.93,1.012,-0.52,6,-0.23,1.83,做上,,弱突破,,,2023-09-21 00:00,26917.04,0,0.049,,0.049,1.5x,弱突破平仓,2023
1692,2023-09-19 16:00,做多,基准值,26869.2,241.12,0.898,-1.76,3,0.12,3.26,做上,,确认,是,27413.3,2023-09-20 12:00,26938.82,5,0.289,-0.604,-0.316,2.0x,KAMA跟踪止损,2023
1693,2023-09-18 20:00,做多,6K极值,27222.02,232.51,0.855,-0.49,107,2.53,2.9,未做,持仓中跳过,弱突破,,,2023-09-18 20:00,27258.8,0,0.158,,0.158,,弱突破平仓,2023
1694,2023-09-18 16:00,做多,6K极值,26784.17,215.64,0.808,-2.26,106,0.79,3.92,做上,,确认,是,27258.8,2023-09-19 04:00,26754.0,3,-0.14,-0.731,-0.871,2.0x,3K收盘认赔,2023
1695,2023-09-18 08:00,做多,基准值,26587.81,207.64,0.783,-3.0,11,-0.15,1.97,做上,,弱突破,,,2023-09-18 08:00,26646.3,0,0.282,,0.282,2.0x,弱突破平仓,2023
1696,2023-09-15 20:00,做空,6K极值,26371.18,282.07,1.068,-3.53,6,0.35,1.07,做上,,弱突破,,,2023-09-15 20:00,26311.0,0,0.213,,0.213,1.5x,弱突破平仓,2023
1697,2023-09-15 16:00,做空,6K极值,26441.16,281.02,1.058,-3.02,4,0.41,0.64,做上,,弱突破,,,2023-09-15 16:00,26417.3,0,0.085,,0.085,1.5x,弱突破平仓,2023
1698,2023-09-14 20:00,做多,基准值,26535.8,292.84,1.108,-3.54,82,0.86,1.95,做上,,弱突破,,,2023-09-14 20:00,26679.0,0,0.489,,0.489,2.0x,弱突破平仓,2023
1699,2023-09-13 16:00,做多,基准值,26149.9,291.52,1.127,-5.7,3,-0.72,1.02,做上,,弱突破,,,2023-09-13 16:00,26188.93,0,0.134,,0.134,2.0x,弱突破平仓,2023
1700,2023-09-12 16:00,做多,6K极值,25974.58,255.44,0.99,-6.03,23,3.21,2.5,做上,,弱突破,,,2023-09-12 16:00,26081.8,0,0.42,,0.42,2.0x,弱突破平仓,2023
1701,2023-09-12 08:00,做多,基准值,25747.5,219.42,0.872,-8.58,3,-1.71,3.08,未做,持仓中跳过,弱突破,,,2023-09-12 08:00,25788.77,0,0.188,,0.188,,弱突破平仓,2023
1702,2023-09-11 20:00,做空,6K极值,25579.1,182.21,0.712,-6.99,147,0.92,7.22,做上,,确认,是,25009.2,2023-09-12 08:00,25761.31,3,-1.0,-1.0,-2.0,1.5x,前3K止损,2023
1703,2023-09-11 16:00,做空,6K极值,25646.97,179.24,0.695,-6.22,3,-0.05,2.24,做上,,弱突破,,,2023-09-11 16:00,25591.9,0,0.307,,0.307,1.5x,弱突破平仓,2023
1704,2023-09-08 16:00,做空,基准值,25846.49,217.16,0.827,-5.19,3,-1.44,2.42,未做,持仓中跳过,弱突破,,,2023-09-08 16:00,25829.0,0,0.081,,0.081,,弱突破平仓,2023
1705,2023-09-08 04:00,做多,6K极值,25966.3,198.33,0.767,-6.71,42,0.47,3.33,做上,,确认,,,2023-09-08 16:00,25767.97,3,-1.0,,-1.0,2.0x,前3K止损,2023
1706,2023-09-08 00:00,做多,基准值,25838.0,198.04,0.769,-7.09,5,-0.22,1.44,做上,,弱突破,,,2023-09-08 00:00,25874.2,0,0.183,,0.183,2.0x,弱突破平仓,2023
1707,2023-09-06 20:00,做空,6K极值,25701.59,194.97,0.758,-7.4,8,0.22,2.24,做上,,确认,,,2023-09-07 00:00,25896.57,1,-1.0,,-1.0,1.5x,前3K止损,2023
1708,2023-09-04 20:00,做空,6K极值,25854.69,229.02,0.885,-7.24,4,0.32,1.7,做上,,弱突破,,,2023-09-04 20:00,25803.9,0,0.222,,0.222,1.5x,弱突破平仓,2023
1709,2023-09-03 12:00,做多,基准值,25926.5,260.95,1.009,-7.54,3,-0.13,0.22,做上,,弱突破,,,2023-09-03 12:00,25941.09,0,0.056,,0.056,2.0x,弱突破平仓,2023
1710,2023-09-02 20:00,做多,6K极值,25848.0,290.06,1.124,-7.91,3,0.02,0.55,未做,持仓中跳过,弱突破,,,2023-09-02 20:00,25883.41,0,0.122,,0.122,,弱突破平仓,2023
1711,2023-09-01 20:00,做空,基准值,25919.99,293.72,1.128,-7.28,3,-0.42,1.52,未做,持仓中跳过,弱突破,,,2023-09-01 20:00,25802.03,0,0.402,,0.402,,弱突破平仓,2023
1712,2023-09-01 04:00,做空,6K极值,25965.54,309.6,1.184,-7.07,14,4.02,1.15,未做,持仓中跳过,弱突破,,,2023-09-01 04:00,25927.5,0,0.123,,0.123,,弱突破平仓,2023
1713,2023-09-01 00:00,做空,6K极值,26814.85,276.0,1.026,-4.4,12,1.11,3.28,未做,持仓中跳过,确认,是,25927.5,2023-09-02 20:00,25916.49,11,3.255,0.009,3.264,,KAMA跟踪止损,2023
1714,2023-08-31 20:00,做空,基准值,27168.41,264.72,0.97,-3.03,11,-0.01,1.59,做上,,确认,是,26155.0,2023-09-02 20:00,25916.49,12,4.729,0.187,4.916,1.5x,KAMA跟踪止损,2023
1715,2023-08-30 20:00,做空,基准值,27265.56,280.41,1.026,-3.14,5,1.37,2.24,未做,持仓中跳过,弱突破,,,2023-08-30 20:00,27191.9,0,0.263,,0.263,,弱突破平仓,2023
1716,2023-08-30 00:00,做多,6K极值,27682.43,254.61,0.929,-2.89,70,5.17,5.1,未做,持仓中跳过,确认,,,2023-08-30 08:00,27427.83,2,-1.0,,-1.0,,前3K止损,2023
1717,2023-08-29 20:00,做多,基准值,26195.22,176.96,0.682,-8.04,69,-0.55,16.78,做上,,确认,是,27823.67,2023-08-30 20:00,27093.92,6,5.079,-0.404,4.674,2.0x,KAMA跟踪止损,2023
1718,2023-08-28 12:00,做空,6K极值,25977.44,177.72,0.683,-7.96,14,0.41,1.28,做上,,弱突破,,,2023-08-28 12:00,25923.0,0,0.306,,0.306,1.5x,弱突破平仓,2023
1719,2023-08-28 08:00,做空,6K极值,26026.4,181.04,0.694,-7.86,5,-0.15,1.0,做上,,弱突破,,,2023-08-28 08:00,26002.68,0,0.131,,0.131,1.5x,弱突破平仓,2023
1720,2023-08-27 20:00,做多,6K极值,26087.3,190.57,0.732,-8.0,8,0.17,0.7,做上,,弱突破,,,2023-08-27 20:00,26110.8,0,0.123,,0.123,2.0x,弱突破平仓,2023
1721,2023-08-27 16:00,做多,6K极值,26042.47,197.0,0.757,-8.07,4,0.02,0.42,做上,,弱突破,,,2023-08-27 16:00,26049.0,0,0.033,,0.033,2.0x,弱突破平仓,2023
1722,2023-08-25 20:00,做空,6K极值,25964.23,263.19,1.009,-8.29,4,0.29,2.58,做上,,弱突破,,,2023-08-25 20:00,25919.74,0,0.169,,0.169,1.5x,弱突破平仓,2023
1723,2023-08-24 20:00,做空,基准值,26336.01,273.23,1.034,-7.3,5,-0.04,1.96,未做,持仓中跳过,确认,是,25919.74,2023-08-25 20:00,26134.52,6,0.737,-1.0,-0.263,,KAMA跟踪止损,2023
1724,2023-08-24 00:00,做多,6K极值,26170.3,259.68,0.994,-8.57,33,0.54,3.53,做上,,确认,,,2023-08-24 20:00,26170.3,5,0.0,,0.0,2.0x,KAMA跟踪止损,2023
1725,2023-08-23 00:00,做空,6K极值,25913.68,237.8,0.917,-9.49,23,0.43,3.87,做上,,确认,,,2023-08-23 08:00,26151.49,2,-1.0,,-1.0,1.5x,前3K止损,2023
1726,2023-08-22 20:00,做空,6K极值,25983.92,241.18,0.926,-9.09,4,0.28,1.49,做上,,弱突破,,,2023-08-22 20:00,25928.94,0,0.228,,0.228,1.5x,弱突破平仓,2023
1727,2023-08-19 20:00,做多,基准值,26146.1,339.64,1.312,-10.35,3,-0.6,0.58,做上,,弱突破,,,2023-08-19 20:00,26201.33,0,0.163,,0.163,2.0x,弱突破平仓,2023
1728,2023-08-18 20:00,做空,6K极值,26161.24,347.21,1.311,-8.55,3,0.49,1.71,做上,,弱突破,,,2023-08-18 20:00,25993.0,0,0.485,,0.485,1.5x,弱突破平仓,2023
1729,2023-08-18 04:00,做空,6K极值,27722.71,210.4,0.754,-3.96,354,2.53,6.78,未做,持仓中跳过,确认,是,26386.0,2023-08-19 20:00,25984.16,10,8.263,0.26,8.523,,KAMA跟踪止损,2023
1730,2023-08-17 20:00,做空,基准值,28336.47,177.64,0.622,-1.72,345,0.61,4.21,未做,持仓中跳过,确认,是,27889.4,2023-08-19 20:00,25984.16,12,13.242,3.05,16.292,,KAMA跟踪止损,2023
1731,2023-08-17 08:00,做空,6K极值,28709.49,169.53,0.59,-1.35,92,1.51,2.48,未做,持仓中跳过,弱突破,,,2023-08-17 08:00,28643.5,0,0.389,,0.389,,弱突破平仓,2023
1732,2023-08-17 04:00,做空,6K极值,28952.39,156.13,0.536,-0.01,54,0.28,2.19,未做,持仓中跳过,确认,是,28643.5,2023-08-18 04:00,25478.1,6,22.253,6.807,29.06,,止盈,2023
1733,2023-08-16 00:00,做空,6K极值,29300.28,153.92,0.525,0.67,9,0.25,2.78,做上,,确认,是,28716.42,2023-08-18 04:00,25784.25,13,22.843,5.683,28.526,1.5x,止盈,2023
1734,2023-08-15 20:00,做空,6K极值,29340.31,152.16,0.518,0.81,4,0.21,1.97,做上,,弱突破,,,2023-08-15 20:00,29316.0,0,0.16,,0.16,1.5x,弱突破平仓,2023
1735,2023-08-14 20:00,做多,6K极值,29481.9,139.88,0.476,0.97,23,0.36,3.89,做上,,确认,,,2023-08-15 00:00,29342.02,1,-1.0,,-1.0,2.0x,前3K止损,2023
1736,2023-08-14 04:00,做空,6K极值,29317.37,133.67,0.454,1.09,12,-0.14,1.08,做上,,弱突破,,,2023-08-14 04:00,29293.6,0,0.178,,0.178,1.5x,弱突破平仓,2023
1737,2023-08-14 00:00,做多,基准值,29403.95,133.04,0.453,0.87,3,-0.14,0.92,做上,,弱突破,,,2023-08-14 00:00,29426.1,0,0.166,,0.166,2.0x,弱突破平仓,2023
1738,2023-08-13 12:00,做空,6K极值,29386.9,148.39,0.505,1.01,4,0.08,0.45,做上,,弱突破,,,2023-08-13 12:00,29385.6,0,0.009,,0.009,1.5x,弱突破平仓,2023
1739,2023-08-10 20:00,做空,6K极值,29465.08,216.07,0.733,1.4,3,0.27,1.74,做上,,弱突破,,,2023-08-10 20:00,29452.9,0,0.056,,0.056,1.5x,弱突破平仓,2023
1740,2023-08-10 00:00,做空,基准值,29659.36,226.11,0.76,2.32,6,-0.13,1.77,未做,持仓中跳过,确认,,,2023-08-10 20:00,29580.75,5,0.348,,0.348,,KAMA跟踪止损,2023
1741,2023-08-09 00:00,做多,6K极值,29662.2,191.54,0.649,1.58,39,1.16,3.99,未做,持仓中跳过,确认,,,2023-08-10 00:00,29662.2,6,0.0,,0.0,,KAMA跟踪止损,2023
1742,2023-08-08 20:00,做多,6K极值,29434.4,184.77,0.628,1.25,35,0.76,4.63,未做,持仓中跳过,弱突破,,,2023-08-08 20:00,29520.14,0,0.464,,0.464,,弱突破平仓,2023
1743,2023-08-08 16:00,做多,6K极值,29313.76,180.1,0.617,0.4,34,0.11,1.73,做上,,确认,是,29867.3,2023-08-10 00:00,29594.24,8,1.557,-0.372,1.185,2.0x,KAMA跟踪止损,2023
1744,2023-08-08 04:00,做多,6K极值,29177.0,186.46,0.64,0.36,4,0.21,1.13,做上,,弱突破,,,2023-08-08 04:00,29203.36,0,0.141,,0.141,2.0x,弱突破平仓,2023
1745,2023-08-07 20:00,做空,基准值,29007.36,162.34,0.558,0.16,15,-0.03,3.66,做上,,确认,,,2023-08-08 00:00,29169.7,1,-1.0,,-1.0,1.5x,前3K止损,2023
1746,2023-08-06 20:00,做空,基准值,29025.28,170.64,0.587,0.11,4,-0.03,0.66,做上,,弱突破,,,2023-08-06 20:00,29004.86,0,0.12,,0.12,1.5x,弱突破平仓,2023
1747,2023-08-05 00:00,做空,基准值,29120.53,219.39,0.75,0.77,7,-0.37,1.04,做上,,弱突破,,,2023-08-05 00:00,29023.7,0,0.441,,0.441,1.5x,弱突破平仓,2023
1748,2023-08-04 20:00,做多,6K极值,29248.3,220.64,0.757,0.44,3,-0.06,0.92,做上,,弱突破,,,2023-08-04 20:00,29258.8,0,0.048,,0.048,2.0x,弱突破平仓,2023
1749,2023-08-03 00:00,做空,6K极值,29169.53,234.91,0.801,0.98,5,1.05,1.97,做上,,弱突破,,,2023-08-03 00:00,29144.43,0,0.107,,0.107,1.5x,弱突破平仓,2023
1750,2023-08-02 20:00,做空,6K极值,29386.14,224.8,0.761,1.8,3,0.51,1.8,未做,持仓中跳过,弱突破,,,2023-08-02 20:00,29312.5,0,0.328,,0.328,,弱突破平仓,2023
1751,2023-08-02 04:00,做多,6K极值,29326.5,202.97,0.694,0.83,50,1.17,2.48,做上,,确认,,,2023-08-02 20:00,29326.5,4,0.0,,0.0,2.0x,KAMA跟踪止损,2023
1752,2023-08-02 00:00,做多,6K极值,28985.9,188.68,0.652,-0.27,3,0.42,2.79,未做,持仓中跳过,确认,是,29703.02,2023-08-02 20:00,29266.36,5,1.486,-0.482,1.004,,KAMA跟踪止损,2023
1753,2023-08-01 08:00,做空,6K极值,29106.99,162.38,0.556,0.75,243,0.59,3.23,未做,持仓中跳过,确认,是,28853.2,2023-08-02 00:00,29106.99,4,0.0,-0.61,-0.61,,KAMA跟踪止损,2023
1754,2023-08-01 00:00,做空,6K极值,29215.17,162.11,0.554,0.8,4,0.6,1.73,未做,持仓中跳过,弱突破,,,2023-08-01 00:00,29148.41,0,0.412,,0.412,,弱突破平仓,2023
1755,2023-07-31 20:00,做空,6K极值,29320.68,157.67,0.536,1.35,3,-0.42,2.14,做上,,确认,是,28823.1,2023-08-02 00:00,29218.07,7,0.651,-0.603,0.048,1.5x,KAMA跟踪止损,2023
1756,2023-07-31 00:00,做空,6K极值,29227.48,155.96,0.532,1.17,11,-0.13,1.34,做上,,弱突破,,,2023-07-31 00:00,29187.4,0,0.257,,0.257,1.5x,弱突破平仓,2023
1757,2023-07-30 04:00,做多,6K极值,29338.7,176.14,0.601,1.17,3,0.15,0.26,做上,,弱突破,,,2023-07-30 04:00,29340.39,0,0.01,,0.01,2.0x,弱突破平仓,2023
1758,2023-07-29 16:00,做空,基准值,29270.1,193.53,0.661,1.01,3,0.09,0.45,做上,,弱突破,,,2023-07-29 16:00,29254.0,0,0.083,,0.083,1.5x,弱突破平仓,2023
1759,2023-07-28 20:00,做多,基准值,29295.0,202.27,0.693,0.75,5,-0.06,2.39,做上,,弱突破,,,2023-07-28 20:00,29378.4,0,0.412,,0.412,2.0x,弱突破平仓,2023
1760,2023-07-28 00:00,做空,6K极值,29224.57,219.12,0.748,1.08,7,0.35,1.3,做上,,弱突破,,,2023-07-28 00:00,29151.9,0,0.332,,0.332,1.5x,弱突破平仓,2023
1761,2023-07-27 20:00,做空,基准值,29286.37,216.43,0.734,1.8,3,-0.53,1.15,做上,,弱突破,,,2023-07-27 20:00,29284.11,0,0.01,,0.01,1.5x,弱突破平仓,2023
1762,2023-07-27 00:00,做多,6K极值,29339.8,215.09,0.734,1.19,3,0.27,2.04,做上,,弱突破,,,2023-07-27 00:00,29389.9,0,0.233,,0.233,2.0x,弱突破平仓,2023
1763,2023-07-24 16:00,做空,6K极值,29646.19,226.67,0.76,3.01,196,0.89,3.91,做上,,确认,是,29085.72,2023-07-26 08:00,29343.92,10,1.334,-0.328,1.005,1.5x,KAMA跟踪止损,2023
1764,2023-07-24 08:00,做空,基准值,29838.31,216.29,0.719,3.92,6,-0.64,2.02,未做,持仓中跳过,确认,是,29259.7,2023-07-26 08:00,29343.92,12,2.286,-0.106,2.18,,KAMA跟踪止损,2023
1765,2023-07-24 00:00,做多,基准值,29972.6,203.45,0.681,3.27,18,0.17,2.34,做上,,确认,,,2023-07-24 08:00,29769.15,2,-1.0,,-1.0,2.0x,前3K止损,2023
1766,2023-07-23 12:00,做多,基准值,29893.35,220.77,0.74,3.1,4,-0.16,0.82,做上,,弱突破,,,2023-07-23 12:00,29902.9,0,0.043,,0.043,2.0x,弱突破平仓,2023
1767,2023-07-23 04:00,做空,6K极值,29788.05,224.12,0.752,3.16,6,0.38,0.74,做上,,弱突破,,,2023-07-23 04:00,29787.4,0,0.003,,0.003,1.5x,弱突破平仓,2023
1768,2023-07-20 20:00,做空,基准值,29868.3,269.71,0.891,4.93,5,-1.27,2.63,做上,,弱突破,,,2023-07-20 20:00,29794.44,0,0.274,,0.274,1.5x,弱突破平仓,2023
1769,2023-07-20 16:00,做多,6K极值,30226.4,270.38,0.895,4.66,14,0.54,1.5,做上,,弱突破,,,2023-07-20 16:00,30274.1,0,0.176,,0.176,2.0x,弱突破平仓,2023
1770,2023-07-20 12:00,做多,基准值,30087.1,268.07,0.895,3.76,12,-0.01,1.06,做上,,弱突破,,,2023-07-20 12:00,30195.6,0,0.405,,0.405,2.0x,弱突破平仓,2023
1771,2023-07-19 08:00,做多,基准值,30006.48,283.93,0.951,3.67,3,-0.08,1.05,做上,,弱突破,,,2023-07-19 08:00,30047.9,0,0.146,,0.146,2.0x,弱突破平仓,2023
1772,2023-07-18 16:00,做空,基准值,29872.98,279.91,0.935,4.03,3,-0.23,1.75,做上,,弱突破,,,2023-07-18 16:00,29872.0,0,0.003,,0.003,1.5x,弱突破平仓,2023
1773,2023-07-18 00:00,做空,6K极值,29982.5,269.4,0.893,4.87,63,0.45,2.76,做上,,弱突破,,,2023-07-18 00:00,29882.51,0,0.371,,0.371,1.5x,弱突破平仓,2023
1774,2023-07-16 20:00,做多,6K极值,30338.3,293.58,0.969,5.47,8,0.06,0.52,做上,,弱突破,,,2023-07-16 20:00,30367.36,0,0.099,,0.099,2.0x,弱突破平仓,2023
1775,2023-07-16 08:00,做空,基准值,30240.84,313.32,1.035,5.57,6,0.07,0.59,做上,,弱突破,,,2023-07-16 08:00,30174.0,0,0.213,,0.213,1.5x,弱突破平仓,2023
1776,2023-07-15 00:00,做空,6K极值,31056.05,340.42,1.09,9.09,25,0.67,3.45,未做,持仓中跳过,确认,是,30294.73,2023-07-16 20:00,30414.14,11,1.886,-0.108,1.777,,KAMA跟踪止损,2023
1777,2023-07-14 00:00,做多,6K极值,31160.77,296.38,0.959,8.14,2412,2.07,4.28,未做,持仓中跳过,确认,,,2023-07-14 12:00,31096.43,3,-0.217,,-0.217,,3K收盘认赔,2023
1778,2023-07-13 20:00,做多,6K极值,30624.0,274.57,0.899,6.81,5,0.53,2.92,做上,,确认,是,31605.5,2023-07-15 00:00,30842.21,7,0.795,-0.608,0.187,2.0x,KAMA跟踪止损,2023
1779,2023-07-13 16:00,做多,6K极值,30423.0,273.64,0.901,6.19,4,0.28,0.99,未做,持仓中跳过,弱突破,,,2023-07-13 16:00,30530.6,0,0.393,,0.393,,弱突破平仓,2023
1780,2023-07-13 00:00,做空,6K极值,30466.01,288.52,0.946,7.06,10,0.22,1.46,做上,,确认,,,2023-07-13 16:00,30466.01,4,0.0,,0.0,1.5x,KAMA跟踪止损,2023
1781,2023-07-12 12:00,做多,基准值,30680.9,284.93,0.932,7.3,3,-0.01,1.07,做上,,弱突破,,,2023-07-12 12:00,30730.0,0,0.172,,0.172,2.0x,弱突破平仓,2023
