突破K索引,突破K时间,起点KAMA值,ATR值,突破线价格,峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
1933,2020-07-26 20:00:00+00:00,9822.55,107.45,9929.99,12026.41,1970,1971,21.11,38,38
4100,2021-07-23 00:00:00+00:00,31914.02,627.99,32542.01,39358.4,4122,4123,20.95,23,23
2780,2020-12-15 00:00:00+00:00,18972.27,333.17,19305.44,23348.36,2795,2801,20.94,21,30
4105,2021-07-23 20:00:00+00:00,31935.71,627.47,32563.18,39358.4,4122,4123,20.87,18,22
1899,2020-07-21 04:00:00+00:00,9188.34,50.01,9238.35,11165.07,1943,1948,20.86,49,72
4105,2021-07-23 20:00:00+00:00,31958.31,609.87,32568.18,39358.4,4122,4123,20.85,18,20
1901,2020-07-21 12:00:00+00:00,9226.86,57.33,9284.19,11217.69,1950,1950,20.83,49,70
4105,2021-07-23 20:00:00+00:00,31953.31,625.1,32578.41,39358.4,4122,4123,20.81,18,21
2875,2020-12-30 20:00:00+00:00,27773.68,779.55,28553.23,34472.24,2895,2901,20.73,26,26
3281,2021-03-08 12:00:00+00:00,49448.07,1447.26,50895.33,61432.39,3314,3319,20.7,38,38
2780,2020-12-15 00:00:00+00:00,19019.95,333.04,19352.99,23348.36,2795,2801,20.64,21,29
1900,2020-07-21 08:00:00+00:00,9212.29,57.7,9269.99,11174.78,1949,1949,20.55,49,71
1902,2020-07-21 16:00:00+00:00,9247.93,60.49,9308.42,11217.69,1950,1951,20.51,49,69
2780,2020-12-15 00:00:00+00:00,19047.88,328.12,19376.0,23348.36,2795,2801,20.5,21,28
3282,2021-03-08 16:00:00+00:00,49604.66,1431.38,51036.04,61432.39,3314,3319,20.37,37,37
9014,2023-10-20 00:00:00+00:00,28597.67,347.51,28945.19,34841.4,9047,9053,20.37,39,39
2913,2021-01-06 04:00:00+00:00,33038.7,1359.08,34397.79,41399.98,2926,2938,20.36,25,25
2780,2020-12-15 00:00:00+00:00,19085.14,324.73,19409.86,23348.36,2795,2801,20.29,21,27
2780,2020-12-15 00:00:00+00:00,19113.28,305.0,19418.27,23348.36,2795,2801,20.24,21,22
2780,2020-12-15 00:00:00+00:00,19098.32,321.7,19420.03,23348.36,2795,2801,20.23,21,25
2780,2020-12-15 00:00:00+00:00,19107.02,316.24,19423.26,23348.36,2795,2801,20.21,21,24
2780,2020-12-15 00:00:00+00:00,19097.63,325.48,19423.11,23348.36,2795,2801,20.21,21,26
2780,2020-12-15 00:00:00+00:00,19112.03,314.08,19426.11,23348.36,2795,2801,20.19,21,23
1912,2020-07-23 08:00:00+00:00,9383.89,64.96,9448.85,11355.05,1961,1961,20.17,49,59
2780,2020-12-15 00:00:00+00:00,19127.17,301.51,19428.68,23348.36,2795,2801,20.17,21,21
2784,2020-12-15 16:00:00+00:00,19127.61,304.03,19431.64,23348.36,2795,2801,20.16,17,20
11316,2024-11-06 16:00:00+00:00,72828.62,1336.46,74165.08,89095.4,11349,11351,20.13,35,35
1903,2020-07-21 20:00:00+00:00,9279.22,60.9,9340.12,11217.69,1950,1952,20.1,49,68
1913,2020-07-23 12:00:00+00:00,9395.92,64.3,9460.23,11355.05,1961,1962,20.03,49,58
2876,2020-12-31 00:00:00+00:00,27983.08,765.84,28748.91,34472.24,2895,2901,19.91,25,25
1908,2020-07-22 16:00:00+00:00,9298.21,58.76,9356.97,11217.69,1950,1957,19.89,49,66
1904,2020-07-22 00:00:00+00:00,9297.9,59.85,9357.74,11217.69,1950,1953,19.88,49,67
1908,2020-07-22 16:00:00+00:00,9304.43,60.53,9364.96,11217.69,1950,1957,19.78,49,65
6235,2022-07-13 20:00:00+00:00,19691.82,481.34,20173.16,24153.4,6275,6280,19.73,45,45
1908,2020-07-22 16:00:00+00:00,9308.7,60.63,9369.33,11217.69,1950,1957,19.73,49,64
3283,2021-03-08 20:00:00+00:00,49902.25,1407.31,51309.55,61432.39,3314,3319,19.73,36,36
7328,2023-01-12 00:00:00+00:00,17693.56,129.36,17822.92,21337.2,7362,7368,19.72,40,40
1934,2020-07-27 00:00:00+00:00,9940.91,106.93,10047.85,12026.41,1970,1971,19.69,37,37
1909,2020-07-22 20:00:00+00:00,9317.15,59.72,9376.86,11217.69,1950,1958,19.63,49,63
6239,2022-07-14 12:00:00+00:00,19711.45,482.24,20193.69,24153.4,6275,6280,19.61,41,42
6239,2022-07-14 12:00:00+00:00,19711.03,487.81,20198.84,24153.4,6275,6280,19.58,41,43
1914,2020-07-23 16:00:00+00:00,9430.08,69.09,9499.17,11355.05,1961,1963,19.54,49,57
6236,2022-07-14 00:00:00+00:00,19708.82,498.57,20207.39,24153.4,6275,6280,19.53,44,44
9015,2023-10-20 04:00:00+00:00,28799.75,372.14,29171.89,34841.4,9047,9053,19.43,38,38
3158,2021-02-16 00:00:00+00:00,47299.43,1429.45,48728.88,58181.35,3192,3194,19.4,36,39
3158,2021-02-16 00:00:00+00:00,47265.61,1473.28,48738.88,58181.35,3192,3194,19.37,36,41
3158,2021-02-16 00:00:00+00:00,47282.78,1455.85,48738.63,58181.35,3192,3194,19.37,36,40
3158,2021-02-16 00:00:00+00:00,47378.92,1373.2,48752.12,58181.35,3192,3194,19.34,36,37
3158,2021-02-16 00:00:00+00:00,47361.55,1398.38,48759.93,58181.35,3192,3194,19.32,36,38
6239,2022-07-14 12:00:00+00:00,19767.76,479.61,20247.37,24153.4,6275,6280,19.29,41,41
3158,2021-02-16 00:00:00+00:00,47411.89,1362.65,48774.54,58181.35,3192,3194,19.29,36,36
1909,2020-07-22 20:00:00+00:00,9345.34,59.58,9404.92,11217.69,1950,1958,19.27,49,62
11317,2024-11-06 20:00:00+00:00,73379.58,1357.73,74737.31,89095.4,11349,11351,19.21,34,34
2914,2021-01-06 08:00:00+00:00,33375.55,1379.9,34755.45,41399.98,2926,2938,19.12,24,24
1935,2020-07-27 04:00:00+00:00,9976.74,123.16,10099.9,12026.41,1970,1971,19.07,36,36
3159,2021-02-16 04:00:00+00:00,47438.45,1430.22,48868.67,58181.35,3192,3194,19.06,35,35
3161,2021-02-16 12:00:00+00:00,47466.12,1407.95,48874.07,58181.35,3192,3194,19.04,33,33
1910,2020-07-23 00:00:00+00:00,9358.4,65.88,9424.28,11217.69,1950,1959,19.03,49,61
1911,2020-07-23 04:00:00+00:00,9371.23,65.8,9437.04,11231.87,1960,1960,19.02,49,60
7329,2023-01-12 04:00:00+00:00,17783.57,147.77,17931.35,21337.2,7362,7368,18.99,39,39
3160,2021-02-16 08:00:00+00:00,47449.87,1444.45,48894.32,58181.35,3192,3194,18.99,34,34
1915,2020-07-23 20:00:00+00:00,9486.04,73.93,9559.97,11373.99,1964,1964,18.98,49,56
11318,2024-11-07 00:00:00+00:00,73661.08,1335.85,74996.93,89095.4,11349,11351,18.8,33,33
3163,2021-02-16 20:00:00+00:00,47526.62,1468.63,48995.26,58181.35,3192,3194,18.75,31,32
6240,2022-07-14 16:00:00+00:00,19843.55,498.79,20342.34,24153.4,6275,6280,18.73,40,40
2877,2020-12-31 04:00:00+00:00,28263.55,792.8,29056.35,34472.24,2895,2901,18.64,24,24
2917,2021-01-06 20:00:00+00:00,33513.98,1395.91,34909.88,41399.98,2926,2938,18.59,21,23
11321,2024-11-07 12:00:00+00:00,73812.43,1322.68,75135.11,89095.4,11349,11351,18.58,30,32
3284,2021-03-09 00:00:00+00:00,50440.22,1394.39,51834.61,61432.39,3314,3319,18.52,35,35
1936,2020-07-27 08:00:00+00:00,10024.27,126.53,10150.81,12026.41,1970,1971,18.48,35,35
3163,2021-02-16 20:00:00+00:00,47645.73,1475.0,49120.73,58181.35,3192,3194,18.45,31,31
7330,2023-01-12 08:00:00+00:00,17865.78,148.53,18014.31,21337.2,7362,7368,18.45,38,38
6241,2022-07-14 20:00:00+00:00,19893.8,512.35,20406.16,24153.4,6275,6280,18.36,39,39
11321,2024-11-07 12:00:00+00:00,73985.25,1288.2,75273.45,89095.4,11349,11351,18.36,30,31
7331,2023-01-12 12:00:00+00:00,17893.19,149.01,18042.19,21337.2,7362,7368,18.26,37,37
2882,2021-01-01 00:00:00+00:00,28370.92,783.3,29154.22,34472.24,2895,2901,18.24,19,23
6242,2022-07-15 00:00:00+00:00,19935.95,501.12,20437.07,24153.4,6275,6280,18.18,38,38
3164,2021-02-17 00:00:00+00:00,47791.96,1459.31,49251.27,58181.35,3192,3194,18.13,30,30
2882,2021-01-01 00:00:00+00:00,28413.32,776.75,29190.07,34472.24,2895,2901,18.1,19,22
5279,2022-02-04 12:00:00+00:00,37245.89,746.77,37992.66,44842.26,5301,5303,18.03,24,28
5279,2022-02-04 12:00:00+00:00,37262.29,749.29,38011.57,44842.26,5301,5303,17.97,24,26
5279,2022-02-04 12:00:00+00:00,37248.5,766.38,38014.88,44842.26,5301,5303,17.96,24,27
9016,2023-10-20 08:00:00+00:00,29171.85,368.3,29540.15,34841.4,9047,9053,17.95,37,37
5279,2022-02-04 12:00:00+00:00,37269.58,760.4,38029.99,44842.26,5301,5303,17.91,24,25
2882,2021-01-01 00:00:00+00:00,28442.92,796.52,29239.43,34472.24,2895,2901,17.9,19,21
