方向,起始K,结束K,起始时间,结束时间,持续K数,截断,KAMA参考,突破KATR,起点价,极值价,极值K,极值时间,极值年龄K,涨跌幅%,终结K收盘,峰前回撤%,全程回撤%,峰值回吐%,突破K实体%,突破K顺向涨跌%,突破K振幅ATR,收盘距KAMA_ATR,ATR%,量比,EMA70偏离%,距20K高_ATR,距20K低_ATR,前波涨幅%,前波同向,前休整K,3K后剩余%,5K后剩余%,8K后剩余%,10K后剩余%,15K后剩余%,20K后剩余%
做空,1767,1768,2020-06-29 04:00:00+00:00,2020-06-29 08:00:00+00:00,2,False,9124.466681653996,116.22232466917076,8944.77767533083,9058.19,1768,2020-06-29 08:00:00+00:00,2,-1.2679166412593479,9092.6,2.1451883057794734,0.8662878566247709,0.37987721608842223,2.898550724637681,-0.021994941163527848,0.5936897252434927,0.25353719036229233,1.2778705296225483,0.6623596721101083,0.6784133161830433,-2.2018145027508633,2.397129818157062,-1.0788103182208404,True,-1.0,,,,,,
做空,1768,1769,2020-06-29 08:00:00+00:00,2020-06-29 12:00:00+00:00,2,False,9124.161435910934,114.33470843571217,8943.855291564289,9022.0,1769,2020-06-29 12:00:00+00:00,2,-0.8737250982740783,9121.78,2.1557225843933523,1.2286632675681708,1.105963201064073,3.0584936918563224,0.026388125343590474,0.6863182761700158,0.27604422438947684,1.2574479074820422,0.8015120901309692,0.65184617028323,-1.789133000807178,2.415714386111386,-1.2679166412593479,True,-1.0,,,,,,
做多,1769,1770,2020-06-29 12:00:00+00:00,2020-06-29 16:00:00+00:00,2,False,9120.85374249858,114.16047301392658,9247.010473013926,9181.0,1770,2020-06-29 16:00:00+00:00,2,-0.7138574483782467,9157.23,2.4333320879281715,1.2137503627016797,0.25890425879534296,26.323861073522952,0.32092030882255873,0.9710015828900572,0.008113644565111192,1.2515153074720786,1.4028270360233532,0.9748583858485131,-1.2983478088945708,2.6750064355702814,-0.8737250982740783,False,-1.0,,,,,,
做多,1770,1773,2020-06-29 16:00:00+00:00,2020-06-30 04:00:00+00:00,4,False,9120.923949466507,112.45244936323024,9293.45244936323,9233.0,1771,2020-06-29 20:00:00+00:00,2,-0.6504843027132805,9144.31,2.0708391247691504,1.3126827683309945,0.9605761940864346,44.312499999998636,0.3886302892637028,0.7114118051941556,0.32285691186877624,1.228018181952733,0.8509747844279959,1.3672772700770541,-0.9039376249748207,3.03088106955405,-0.7138574483782467,True,-1.0,0.0,,,,,
做多,1773,1774,2020-06-30 04:00:00+00:00,2020-06-30 08:00:00+00:00,2,False,9139.220053110917,106.33148127279958,9284.9314812728,9178.6,1773,2020-06-30 04:00:00+00:00,1,-1.1452048029354354,9150.64,1.8646500690069518,0.7277798357048034,0.3046216198548901,27.00598802395296,-0.20179421137643816,0.6282241082358462,0.04786867283475064,1.1628157977233884,0.732936166534954,1.1759304088435134,-0.8340897628658175,3.08384681634151,-0.6504843027132805,True,-1.0,,,,,,
做多,1774,1775,2020-06-30 08:00:00+00:00,2020-06-30 12:00:00+00:00,2,False,9139.262382411833,103.95490720915956,9281.95490720916,9188.0,1775,2020-06-30 12:00:00+00:00,2,-1.0122318859380162,9169.41,2.3484805667376647,1.3499129299085835,0.2023291249455828,10.765306122448989,0.06922337497305975,0.5656298637417123,0.10944762391326722,1.1360397437683,0.6118113139449843,1.2459678025329193,-0.7922665914586452,3.2152402322624516,-1.1452048029354354,True,-1.0,,,,,,
做多,1775,1776,2020-06-30 12:00:00+00:00,2020-06-30 16:00:00+00:00,2,False,9139.731485995,104.95866184870161,9292.958661848701,9188.0,1775,2020-06-30 12:00:00+00:00,1,-1.1294429004575062,9133.26,2.464109334616879,1.3499129299085835,0.5957771005659532,15.044747238571116,0.2051222646721973,1.1817033279139026,0.2827638375171111,1.1446610179793641,1.6832255787465438,1.453645824578764,-0.6058575717330068,3.3633241295403113,-1.0122318859380162,True,-1.0,,,,,,
做空,1776,1777,2020-06-30 16:00:00+00:00,2020-06-30 20:00:00+00:00,2,False,9141.40972402812,103.96072875626652,8991.039271243733,9095.0,1776,2020-06-30 16:00:00+00:00,1,-1.1562704334833338,9138.87,2.1016561384691594,0.9345794392523363,0.4823529411764794,42.30588235294015,0.3942456493929214,0.8176164309051787,0.07839233262040113,1.1382652936220639,0.7429587436960235,1.0536692397648573,-0.9594007390409687,3.047881674077828,-1.1294429004575062,False,-1.0,,,,,,
做空,1777,1778,2020-06-30 20:00:00+00:00,2020-07-01 00:00:00+00:00,2,False,9141.142036160276,100.97319231845324,9025.186807681546,9090.0,1778,2020-07-01 00:00:00+00:00,2,-0.7181368507883927,9138.76,1.608644734033491,0.6270627062706271,0.5364136413641388,12.440624293146081,-0.06142385084844104,0.4378389846343542,0.022501379901998693,1.1048761205537798,0.42226018123993897,1.1157402948355701,-0.9322276322920274,3.1936199361012827,-1.1562704334833338,True,-1.0,,,,,,
做空,1778,1779,2020-07-01 00:00:00+00:00,2020-07-01 04:00:00+00:00,2,False,9141.060422312115,98.77453270253056,8991.225467297469,9090.0,1778,2020-07-01 00:00:00+00:00,1,-1.0985658524723934,9136.45,1.7325172555076989,0.801760176017593,0.511001100110019,0.2105263157876866,0.0012036499042022974,0.5770718265168738,0.023289629919517222,1.0808307987356114,0.6214348191211104,1.0833579034038718,-0.9540920865078959,3.2635942806312244,-0.7181368507883927,True,-1.0,,,,,,
