序号,组别,信号时间,方向,6K极值,入场基准,是否有回调突破线,回调偏移%,ATR,ATR%,突破K收盘价,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,收益率%,MFE%,出场原因,同信号对方R值,年份
1112,A_原策略_6K极值,2020-06-16 08:00,做多,9490.83,9490.83,是,1.291,143.68,1.514,9559.49,9490.83,9347.15,11578.81,2020-06-17 00:00,9449.16,4,-0.29,-0.439,1.024,保本平仓,,2020
1113,A_原策略_6K极值,2020-06-15 08:00,做空,9240.97,9240.97,否,0.0,123.39,1.335,9160.68,9240.97,9364.36,8132.05,2020-06-16 00:00,9290.01,4,-0.3974,-0.531,3.815,保本平仓,,2020
1114,A_原策略_6K极值,2020-06-11 20:00,做空,9681.21,9681.21,是,0.0,128.92,1.332,9525.02,9681.21,9810.13,8519.46,2020-06-14 00:00,9494.51,13,1.4482,1.928,6.468,KAMA跟踪,,2020
1115,A_原策略_6K极值,2020-06-11 00:00,做多,9832.52,9832.52,是,0.0,122.9,1.25,9855.04,9832.52,9709.62,11995.67,2020-06-11 16:00,9801.0,4,-0.2565,-0.321,1.399,保本平仓,,2020
1116,A_原策略_6K极值,2020-06-07 16:00,做空,9579.0,9579.0,是,0.0,137.89,1.439,9573.97,9579.0,9716.89,8429.52,2020-06-08 00:00,9716.89,2,-1.0,-1.439,2.151,ATR止损,,2020
1117,A_原策略_6K极值,2020-06-04 20:00,做多,9694.75,9694.75,是,0.0,172.61,1.78,9828.11,9694.75,9522.14,11827.59,2020-06-05 12:00,9743.43,4,0.282,0.502,1.952,KAMA跟踪,,2020
1118,A_原策略_6K极值,2020-06-04 04:00,做多,9644.0,9644.0,是,0.985,183.37,1.901,9663.59,9644.0,9460.63,11765.68,2020-06-04 16:00,9460.63,3,-1.0,-1.901,0.424,ATR止损,,2020
1119,A_原策略_6K极值,2020-06-02 04:00,做多,9615.0,9615.0,是,0.0,137.13,1.426,10232.48,9615.0,9477.87,11730.3,2020-06-02 20:00,9796.76,4,1.3255,1.89,6.732,KAMA跟踪,,2020
1120,A_原策略_6K极值,2020-05-31 04:00,做多,9596.0,9596.0,是,0.0,144.54,1.506,9695.0,9596.0,9451.46,11707.12,2020-05-31 20:00,9586.7,4,-0.0643,-0.097,1.063,保本平仓,,2020
1121,A_原策略_6K极值,2020-05-27 16:00,做多,9011.82,9011.82,是,0.0,161.26,1.789,9144.99,9011.82,8850.56,10994.42,2020-05-29 16:00,9412.18,12,2.4826,4.443,6.767,KAMA跟踪,,2020
1122,A_原策略_6K极值,2020-05-26 20:00,做空,8724.34,8724.34,是,0.0,176.91,2.028,8720.48,8724.34,8901.25,7677.42,2020-05-27 12:00,8825.33,4,-0.5709,-1.158,0.357,保本平仓,,2020
1123,A_原策略_6K极值,2020-05-24 20:00,做空,9076.9,9076.9,是,0.0,176.42,1.944,9050.0,9076.9,9253.32,7987.67,2020-05-26 00:00,8940.69,7,0.7721,1.501,4.996,KAMA跟踪,,2020
1124,A_原策略_6K极值,2020-05-23 08:00,做多,9259.38,9259.38,否,0.0,204.32,2.207,9280.0,9259.38,9055.06,11296.44,2020-05-24 00:00,9195.49,4,-0.3127,-0.69,0.385,保本平仓,,2020
1125,A_原策略_6K极值,2020-05-20 20:00,做空,9555.0,9555.0,是,0.0,209.8,2.196,9410.03,9555.0,9764.8,8408.4,2020-05-22 20:00,9196.71,12,1.7078,3.75,7.774,KAMA跟踪,,2020
1126,A_原策略_6K极值,2020-05-17 20:00,做多,9572.38,9572.38,是,0.448,239.58,2.503,9818.43,9572.38,9332.8,11678.3,2020-05-18 16:00,9668.25,5,0.4002,1.002,4.035,KAMA跟踪,,2020
1127,A_原策略_6K极值,2020-05-13 16:00,做多,8981.0,8981.0,是,0.0,275.28,3.065,9034.48,8981.0,8705.72,10956.82,2020-05-15 08:00,9635.85,10,2.3788,7.291,10.789,KAMA跟踪,,2020
1128,A_原策略_6K极值,2020-05-11 16:00,做多,8900.2,8900.2,是,0.0,279.28,3.138,8923.21,8900.2,8620.92,10858.24,2020-05-12 00:00,8620.92,2,-1.0,-3.138,2.964,ATR止损,,2020
1129,A_原策略_6K极值,2020-05-10 08:00,做空,9528.23,9528.23,是,0.0,213.86,2.245,8621.65,9528.23,9742.09,8384.84,2020-05-11 00:00,8384.84,4,5.3464,12.0,13.415,固定止盈,,2020
1130,A_原策略_6K极值,2020-05-09 12:00,做空,9726.0,9726.0,是,0.0,218.85,2.25,9609.65,9726.0,9944.85,8558.88,2020-05-10 04:00,9754.19,4,-0.1288,-0.29,2.033,保本平仓,,2020
1131,A_原策略_6K极值,2020-05-07 20:00,做多,9405.0,9405.0,是,0.0,201.13,2.139,9518.55,9405.0,9203.87,11474.1,2020-05-09 08:00,9758.2,9,1.7561,3.755,7.177,KAMA跟踪,,2020
1132,A_原策略_6K极值,2020-05-06 16:00,做多,9078.51,9078.51,是,0.0,189.4,2.086,9321.44,9078.51,8889.11,11075.78,2020-05-07 08:00,9078.51,4,0.0,0.0,3.596,保本平仓,,2020
1133,A_原策略_6K极值,2020-05-05 12:00,做多,8954.94,8954.94,否,0.0,198.13,2.212,9020.52,8954.94,8756.81,10925.03,2020-05-06 04:00,8905.69,4,-0.2486,-0.55,1.38,保本平仓,,2020
1134,A_原策略_6K极值,2020-05-03 08:00,做多,9020.0,9020.0,否,0.0,205.35,2.277,9139.48,9020.0,8814.65,11004.4,2020-05-03 20:00,8814.65,3,-1.0,-2.277,1.519,ATR止损,,2020
1135,A_原策略_6K极值,2020-04-29 08:00,做多,7780.0,7780.0,是,0.0,108.75,1.398,7813.51,7780.0,7671.25,9491.6,2020-04-30 16:00,8955.92,8,10.8128,15.115,21.848,KAMA跟踪,,2020
1136,A_原策略_6K极值,2020-04-27 08:00,做多,7709.57,7709.57,是,0.0,127.13,1.649,7733.26,7709.57,7582.44,9405.68,2020-04-28 00:00,7673.75,4,-0.2818,-0.465,0.473,保本平仓,,2020
1137,A_原策略_6K极值,2020-04-23 20:00,做多,7178.0,7178.0,是,0.0,117.16,1.632,7528.14,7178.0,7060.84,8757.16,2020-04-24 20:00,7420.74,6,2.0719,3.382,6.144,KAMA跟踪,,2020
1138,A_原策略_6K极值,2020-04-22 20:00,做多,6970.0,6970.0,是,0.43,121.27,1.74,7105.69,6970.0,6848.73,8503.4,2020-04-23 12:00,7026.31,4,0.4643,0.808,2.984,KAMA跟踪,,2020
1139,A_原策略_6K极值,2020-04-20 16:00,做空,7055.0,7055.0,是,0.0,118.12,1.674,6964.2,7055.0,7173.12,6208.4,2020-04-22 12:00,6942.34,11,0.9537,1.597,4.522,KAMA跟踪,,2020
1140,A_原策略_6K极值,2020-04-18 20:00,做多,7140.0,7140.0,是,0.0,133.63,1.872,7238.83,7140.0,7006.37,8710.8,2020-04-19 12:00,7140.0,4,0.0,0.0,2.101,保本平仓,,2020
1141,A_原策略_6K极值,2020-04-16 16:00,做多,6984.7,6984.7,是,1.527,148.27,2.123,7019.97,6984.7,6836.43,8521.33,2020-04-17 20:00,6984.7,7,0.0,0.0,2.952,保本平仓,,2020
1142,A_原策略_6K极值,2020-04-15 20:00,做空,6736.84,6736.84,是,0.835,136.35,2.024,6699.85,6736.84,6873.19,5928.42,2020-04-16 12:00,6736.84,4,0.0,0.0,4.03,保本平仓,,2020
1143,A_原策略_6K极值,2020-04-13 08:00,做空,6775.66,6775.66,是,0.0,144.28,2.129,6671.0,6775.66,6919.94,5962.58,2020-04-14 00:00,6775.66,4,0.0,0.0,2.696,保本平仓,,2020
1144,A_原策略_6K极值,2020-04-13 00:00,做多,7028.0,7028.0,是,1.707,136.05,1.936,7108.63,7028.0,6891.95,8574.16,2020-04-13 04:00,6891.95,1,-1.0,-1.936,1.725,ATR止损,,2020
1145,A_原策略_6K极值,2020-04-10 12:00,做空,7105.98,7105.98,是,0.0,154.76,2.178,6919.58,7105.98,7260.74,6253.26,2020-04-12 20:00,6950.62,14,1.0039,2.186,5.136,KAMA跟踪,,2020
1146,A_原策略_6K极值,2020-04-09 16:00,做空,7192.0,7192.0,是,0.0,157.45,2.189,7179.77,7192.0,7349.45,6328.96,2020-04-10 08:00,7278.83,4,-0.5515,-1.207,1.196,保本平仓,,2020
1147,A_原策略_6K极值,2020-04-06 12:00,做多,6887.2,6887.2,是,0.691,167.68,2.435,7024.02,6887.2,6719.52,8402.38,2020-04-07 20:00,7314.58,8,2.5488,6.205,8.273,KAMA跟踪,,2020
1148,A_原策略_6K极值,2020-04-02 20:00,做多,6750.0,6750.0,是,0.0,177.94,2.636,6801.0,6750.0,6572.06,8235.0,2020-04-03 12:00,6750.0,4,0.0,0.0,8.0,保本平仓,,2020
1149,A_原策略_6K极值,2020-04-01 20:00,做空,6240.0,6240.0,是,1.282,170.43,2.731,6225.43,6240.0,6410.43,5491.2,2020-04-02 04:00,6410.43,2,-1.0,-2.731,1.603,ATR止损,,2020
1150,A_原策略_6K极值,2020-03-30 16:00,做多,6330.0,6330.0,是,1.945,202.24,3.195,6351.23,6330.0,6127.76,7722.6,2020-03-31 20:00,6330.0,7,0.0,0.0,4.363,保本平仓,,2020
1151,A_原策略_6K极值,2020-03-28 04:00,做空,6566.0,6566.0,否,0.0,219.76,3.347,6353.64,6566.0,6785.76,5778.08,2020-03-30 12:00,6125.55,14,2.0042,6.708,10.905,KAMA跟踪,,2020
1152,A_原策略_6K极值,2020-03-27 08:00,做多,6777.5,6777.5,是,0.0,248.42,3.665,6790.17,6777.5,6529.08,8268.55,2020-03-28 00:00,6620.33,4,-0.6327,-2.319,0.675,保本平仓,,2020
1153,A_原策略_6K极值,2020-03-24 16:00,做多,6689.51,6689.51,是,1.041,313.31,4.684,6732.6,6689.51,6376.2,8161.2,2020-03-25 08:00,6689.51,4,0.0,0.0,1.513,保本平仓,,2020
1154,A_原策略_6K极值,2020-03-23 04:00,做空,5855.68,5855.68,是,3.712,320.52,5.474,5810.17,5855.68,6176.2,5153.0,2020-03-23 20:00,5855.68,4,0.0,0.0,3.171,保本平仓,,2020
1155,A_原策略_6K极值,2020-03-19 16:00,做多,5448.07,5448.07,否,0.0,337.78,6.2,5616.23,5448.07,5110.29,6646.65,2020-03-20 16:00,6646.65,6,3.5484,22.0,26.852,固定止盈,,2020
1156,A_原策略_6K极值,2020-03-16 12:00,做空,5169.6,5169.6,是,0.069,416.82,8.063,4783.83,5169.6,5586.42,4549.25,2020-03-16 16:00,4549.25,1,1.4883,12.0,14.624,固定止盈,,2020
1157,A_原策略_6K极值,2020-03-13 04:00,做空,5199.17,5199.17,是,0.0,317.32,6.103,4764.65,5199.17,5516.49,4575.27,2020-03-13 08:00,5516.49,1,-1.0,-6.103,30.339,ATR止损,,2020
1158,A_原策略_6K极值,2020-03-12 12:00,做空,7575.0,7575.0,否,0.0,194.49,2.568,7397.9,7575.0,7769.49,6666.0,2020-03-12 16:00,6666.0,1,4.6737,12.0,31.364,固定止盈,,2020
1159,A_原策略_6K极值,2020-03-10 16:00,做多,7996.28,7996.28,是,0.0,171.17,2.141,8068.62,7996.28,7825.11,9755.46,2020-03-10 20:00,7825.11,1,-1.0,-2.141,2.001,ATR止损,,2020
1160,A_原策略_6K极值,2020-03-08 00:00,做空,9016.0,9016.0,是,0.0,116.94,1.297,8896.9,9016.0,9132.94,7934.08,2020-03-09 12:00,7934.08,9,9.2522,12.0,14.897,固定止盈,,2020
1161,A_原策略_6K极值,2020-03-05 08:00,做多,8853.88,8853.88,是,0.0,139.52,1.576,8878.52,8853.88,8714.36,10801.73,2020-03-06 20:00,9018.46,9,1.1796,1.859,3.681,KAMA跟踪,,2020
1162,A_原策略_6K极值,2020-03-02 20:00,做多,8779.88,8779.88,是,0.201,163.78,1.865,8828.53,8779.88,8616.1,10711.45,2020-03-03 12:00,8798.3,4,0.1124,0.21,2.188,KAMA跟踪,,2020
1163,A_原策略_6K极值,2020-03-01 04:00,做空,8576.13,8576.13,是,0.0,173.87,2.027,8531.98,8576.13,8750.0,7546.99,2020-03-01 20:00,8654.36,4,-0.4499,-0.912,0.654,保本平仓,,2020
1164,A_原策略_6K极值,2020-02-28 16:00,做空,8684.46,8684.46,是,0.665,178.68,2.057,8593.54,8684.46,8863.14,7642.32,2020-02-29 08:00,8699.86,4,-0.0862,-0.177,2.7,保本平仓,,2020
1165,A_原策略_6K极值,2020-02-25 20:00,做空,9487.38,9487.38,是,0.0,151.77,1.6,9404.39,9487.38,9639.15,8348.89,2020-02-27 20:00,8873.35,12,4.0458,6.472,10.05,KAMA跟踪,,2020
1166,A_原策略_6K极值,2020-02-23 08:00,做多,9710.7,9710.7,是,0.0,147.14,1.515,9793.8,9710.7,9563.56,11847.05,2020-02-24 08:00,9823.66,6,0.7677,1.163,3.174,KAMA跟踪,,2020
1167,A_原策略_6K极值,2020-02-21 08:00,做多,9700.0,9700.0,是,0.468,194.67,2.007,9709.82,9700.0,9505.33,11834.0,2020-02-22 00:00,9726.97,4,0.1385,0.278,0.614,KAMA跟踪,,2020
1168,A_原策略_6K极值,2020-02-18 20:00,做多,9821.0,9821.0,否,0.0,166.41,1.694,9837.99,9821.0,9654.59,11981.62,2020-02-20 04:00,10048.03,8,1.3643,2.312,4.735,KAMA跟踪,,2020
1169,A_原策略_6K极值,2020-02-15 20:00,做空,10203.98,10203.98,是,0.284,145.71,1.428,9982.18,10203.98,10349.69,8979.5,2020-02-17 04:00,9988.04,8,1.4819,2.116,5.658,KAMA跟踪,,2020
1170,A_原策略_6K极值,2020-02-13 16:00,做空,10235.52,10235.52,是,0.0,143.98,1.407,10165.03,10235.52,10379.5,9007.26,2020-02-13 20:00,10379.5,1,-1.0,-1.407,1.118,ATR止损,,2020
1171,A_原策略_6K极值,2020-02-12 00:00,做多,10240.0,10240.0,是,3.242,143.49,1.401,10287.46,10240.0,10096.51,12492.8,2020-02-12 16:00,10240.0,4,0.0,0.0,2.344,保本平仓,,2020
1172,A_原策略_6K极值,2020-02-11 08:00,做空,9750.0,9750.0,是,0.0,133.29,1.367,9749.24,9750.0,9883.29,8580.0,2020-02-11 20:00,9883.29,3,-1.0,-1.367,0.212,ATR止损,,2020
1173,A_原策略_6K极值,2020-02-09 04:00,做多,9898.57,9898.57,是,0.592,121.11,1.224,9906.43,9898.57,9777.46,12076.26,2020-02-10 12:00,10056.22,8,1.3017,1.593,3.182,KAMA跟踪,,2020
1174,A_原策略_6K极值,2020-02-08 08:00,做空,9736.66,9736.66,是,0.067,124.85,1.282,9726.32,9736.66,9861.51,8568.26,2020-02-08 16:00,9861.51,2,-1.0,-1.282,0.258,ATR止损,,2020
1175,A_原策略_6K极值,2020-02-05 16:00,做多,9307.78,9307.78,是,0.03,120.41,1.294,9423.0,9307.78,9187.37,11355.49,2020-02-07 04:00,9675.07,9,3.0502,3.946,6.191,KAMA跟踪,,2020
1176,A_原策略_6K极值,2020-02-04 16:00,做空,9226.4,9226.4,是,0.256,127.65,1.384,9193.76,9226.4,9354.05,8119.23,2020-02-05 08:00,9226.4,4,0.0,0.0,1.316,保本平仓,,2020
1177,A_原策略_6K极值,2020-02-03 20:00,做空,9290.0,9290.0,是,0.0,136.18,1.466,9283.16,9290.0,9426.18,8175.2,2020-02-04 12:00,9293.8,4,-0.0279,-0.041,0.685,保本平仓,,2020
1178,A_原策略_6K极值,2020-02-02 08:00,做空,9306.0,9306.0,是,0.0,129.36,1.39,9274.37,9306.0,9435.36,8189.28,2020-02-02 16:00,9435.36,2,-1.0,-1.39,1.569,ATR止损,,2020
1179,A_原策略_6K极值,2020-01-31 00:00,做多,9460.52,9460.52,是,0.0,142.28,1.504,9515.38,9460.52,9318.24,11541.83,2020-01-31 16:00,9380.64,4,-0.5614,-0.844,1.464,保本平仓,,2020
1180,A_原策略_6K极值,2020-01-29 04:00,做多,9207.81,9207.81,是,0.338,134.36,1.459,9398.98,9207.81,9073.45,11233.53,2020-01-30 08:00,9223.66,7,0.118,0.172,2.745,KAMA跟踪,,2020
1181,A_原策略_6K极值,2020-01-27 20:00,做多,8764.0,8764.0,否,0.0,110.61,1.262,8780.28,8764.0,8653.39,10692.08,2020-01-28 16:00,8954.09,5,1.7185,2.169,4.709,KAMA跟踪,,2020
1182,A_原策略_6K极值,2020-01-26 16:00,做多,8425.0,8425.0,是,0.415,112.42,1.334,8481.78,8425.0,8312.58,10278.5,2020-01-27 16:00,8582.95,6,1.4051,1.875,4.024,KAMA跟踪,,2020
1183,A_原策略_6K极值,2020-01-23 16:00,做空,8504.0,8504.0,否,0.0,129.26,1.52,8433.81,8504.0,8633.26,7483.52,2020-01-24 20:00,8444.39,7,0.4611,0.701,3.022,KAMA跟踪,,2020
1184,A_原策略_6K极值,2020-01-22 00:00,做空,8608.71,8608.71,是,0.044,137.05,1.592,8536.51,8608.71,8745.76,7575.66,2020-01-22 04:00,8745.76,1,-1.0,-1.592,0.868,ATR止损,,2020
1185,A_原策略_6K极值,2020-01-19 08:00,做多,8995.0,8995.0,是,0.0,139.27,1.548,9165.18,8995.0,8855.73,10973.9,2020-01-19 16:00,8855.73,2,-1.0,-1.548,1.981,ATR止损,,2020
1186,A_原策略_6K极值,2020-01-17 12:00,做多,8843.49,8843.49,是,0.562,155.69,1.761,8944.5,8843.49,8687.8,10789.06,2020-01-18 12:00,8843.49,6,0.0,0.0,2.211,保本平仓,,2020
1187,A_原策略_6K极值,2020-01-14 08:00,做多,8200.0,8200.0,是,0.0,127.66,1.557,8469.84,8200.0,8072.34,10004.0,2020-01-15 12:00,8671.82,7,3.6959,5.754,8.762,KAMA跟踪,,2020
1188,A_原策略_6K极值,2020-01-10 20:00,做多,8006.83,8006.83,是,0.0,152.6,1.906,8066.68,8006.83,7854.23,9768.33,2020-01-12 04:00,8010.19,8,0.022,0.042,3.564,KAMA跟踪,,2020
1189,A_原策略_6K极值,2020-01-06 08:00,做多,7495.0,7495.0,是,0.0,93.03,1.241,7538.65,7495.0,7401.97,9143.9,2020-01-09 00:00,8141.71,16,6.9516,8.629,12.988,KAMA跟踪,,2020
1190,A_原策略_6K极值,2020-01-05 08:00,做多,7400.0,7400.0,是,0.426,94.48,1.277,7475.15,7400.0,7305.52,9028.0,2020-01-06 04:00,7400.0,5,0.0,0.0,1.284,保本平仓,,2020
1191,A_原策略_6K极值,2020-01-03 16:00,做多,7300.0,7300.0,是,1.712,94.5,1.294,7338.11,7300.0,7205.5,8906.0,2020-01-04 08:00,7300.0,4,0.0,0.0,1.47,保本平仓,,2020
1192,A_原策略_6K极值,2020-01-02 08:00,做空,7170.15,7170.15,是,0.0,75.94,1.059,7127.29,7170.15,7246.09,6309.73,2020-01-03 12:00,7086.8,7,1.0976,1.163,4.278,KAMA跟踪,,2020
1193,A_原策略_6K极值,2020-01-01 00:00,做空,7181.78,7181.78,是,0.114,85.35,1.188,7168.24,7181.78,7267.13,6319.97,2020-01-01 16:00,7205.26,4,-0.2751,-0.327,0.299,保本平仓,,2020
1194,A_原策略_6K极值,2019-12-30 20:00,做空,7287.25,7287.25,是,0.48,92.33,1.267,7258.26,7287.25,7379.58,6412.78,2019-12-31 20:00,7287.25,6,0.0,0.0,1.447,保本平仓,,2019
1195,A_原策略_6K极值,2019-12-29 20:00,做多,7359.15,7359.15,是,0.0,89.83,1.221,7391.22,7359.15,7269.32,8978.16,2019-12-30 12:00,7344.77,4,-0.1601,-0.195,2.281,保本平仓,,2019
1196,A_原策略_6K极值,2019-12-28 08:00,做多,7270.0,7270.0,是,0.438,106.92,1.471,7284.59,7270.0,7163.08,8869.4,2019-12-29 00:00,7279.83,4,0.0919,0.135,1.226,KAMA跟踪,,2019
1197,A_原策略_6K极值,2019-12-27 16:00,做空,7151.0,7151.0,是,0.0,106.61,1.491,7132.01,7151.0,7257.61,6292.88,2019-12-27 20:00,7257.61,1,-1.0,-1.491,0.853,ATR止损,,2019
1198,A_原策略_6K极值,2019-12-27 00:00,做多,7265.0,7265.0,是,0.0,101.02,1.39,7293.31,7265.0,7163.98,8863.3,2019-12-27 04:00,7163.98,1,-1.0,-1.39,0.877,ATR止损,,2019
1199,A_原策略_6K极值,2019-12-24 04:00,做空,7342.28,7342.28,是,0.446,118.87,1.619,7314.01,7342.28,7461.15,6461.21,2019-12-24 20:00,7371.17,4,-0.243,-0.393,1.597,保本平仓,,2019
1200,A_原策略_6K极值,2019-12-19 00:00,做多,6868.29,6868.29,是,1.888,117.62,1.713,6951.33,6868.29,6750.67,8379.31,2019-12-24 00:00,7461.24,30,5.0412,8.633,11.978,KAMA跟踪,,2019
1201,A_原策略_6K极值,2019-12-17 00:00,做空,7037.03,7037.03,是,0.0,79.89,1.135,6900.0,7037.03,7116.92,6192.59,2019-12-18 20:00,6707.45,11,4.1253,4.683,8.669,KAMA跟踪,,2019
1202,A_原策略_6K极值,2019-12-14 16:00,做空,7203.43,7203.43,是,0.0,79.79,1.108,7183.45,7203.43,7283.22,6339.02,2019-12-15 12:00,7139.44,5,0.8019,0.888,2.758,KAMA跟踪,,2019
1203,A_原策略_6K极值,2019-12-09 20:00,做空,7434.57,7434.57,是,0.794,111.57,1.501,7423.47,7434.57,7546.14,6542.42,2019-12-11 20:00,7251.21,12,1.6435,2.466,4.262,KAMA跟踪,,2019
1204,A_原策略_6K极值,2019-12-08 08:00,做空,7467.44,7467.44,是,0.0,132.75,1.778,7403.21,7467.44,7600.19,6571.35,2019-12-09 00:00,7544.04,4,-0.577,-1.026,1.117,KAMA跟踪,,2019
1205,A_原策略_6K极值,2019-12-04 08:00,做空,7231.35,7231.35,是,0.0,138.88,1.921,7145.99,7231.35,7370.23,6363.59,2019-12-04 20:00,7370.23,3,-1.0,-1.921,2.231,ATR止损,,2019
1206,A_原策略_6K极值,2019-12-01 00:00,做空,7511.11,7511.11,是,1.982,177.59,2.364,7504.35,7511.11,7688.7,6609.78,2019-12-01 20:00,7404.23,5,0.6018,1.423,3.845,KAMA跟踪,,2019
1207,A_原策略_6K极值,2019-11-29 20:00,做多,7643.0,7643.0,是,0.0,185.19,2.423,7803.96,7643.0,7457.81,9324.46,2019-11-30 16:00,7643.0,5,0.0,0.0,2.708,保本平仓,,2019
1208,A_原策略_6K极值,2019-11-27 20:00,做多,7221.77,7221.77,是,0.0,194.13,2.688,7300.02,7221.77,7027.64,8810.56,2019-11-29 04:00,7384.04,8,0.8359,2.247,6.196,KAMA跟踪,,2019
1209,A_原策略_6K极值,2019-11-24 20:00,做空,7079.13,7079.13,是,0.751,164.57,2.325,6979.96,7079.13,7243.7,6229.63,2019-11-25 20:00,6974.71,6,0.6345,1.475,8.037,KAMA跟踪,,2019
1210,A_原策略_6K极值,2019-11-21 16:00,做空,8037.5,8037.5,是,0.0,96.51,1.201,7871.42,8037.5,8134.01,7073.0,2019-11-22 16:00,7668.97,6,3.8187,4.585,13.904,KAMA跟踪,,2019
1211,A_原策略_6K极值,2019-11-18 20:00,做空,8417.0,8417.0,是,0.0,95.59,1.136,8410.0,8417.0,8512.59,7406.96,2019-11-20 00:00,8149.97,7,2.7934,3.172,4.954,KAMA跟踪,,2019
1212,A_原策略_6K极值,2019-11-17 12:00,做空,8453.69,8453.69,是,0.0,93.47,1.106,8427.14,8453.69,8547.16,7439.25,2019-11-17 16:00,8547.16,1,-1.0,-1.106,1.158,ATR止损,,2019
1213,A_原策略_6K极值,2019-11-15 20:00,做空,8515.0,8515.0,是,1.067,104.97,1.233,8476.55,8515.0,8619.97,7493.2,2019-11-16 16:00,8515.0,5,0.0,0.0,0.988,保本平仓,,2019
1214,A_原策略_6K极值,2019-11-14 12:00,做空,8712.0,8712.0,是,0.0,107.17,1.23,8667.46,8712.0,8819.17,7666.56,2019-11-15 16:00,8666.7,7,0.4227,0.52,2.261,KAMA跟踪,,2019
1215,A_原策略_6K极值,2019-11-11 00:00,做多,8889.02,8889.02,是,0.0,118.01,1.328,9049.13,8889.02,8771.01,10844.6,2019-11-11 12:00,8771.01,3,-1.0,-1.328,2.373,ATR止损,,2019
1216,A_原策略_6K极值,2019-11-08 16:00,做空,9091.2,9091.2,是,0.0,126.52,1.392,9033.3,9091.2,9217.72,8000.26,2019-11-09 20:00,8870.83,7,1.7418,2.424,4.635,KAMA跟踪,,2019
1217,A_原策略_6K极值,2019-11-07 16:00,做空,9220.0,9220.0,是,0.428,131.63,1.428,9206.51,9220.0,9351.63,8113.6,2019-11-08 08:00,9221.63,4,-0.0124,-0.018,1.397,保本平仓,,2019
1218,A_原策略_6K极值,2019-11-04 16:00,做多,9250.4,9250.4,是,0.0,150.58,1.628,9259.38,9250.4,9099.82,11285.49,2019-11-05 12:00,9269.88,5,0.1293,0.211,3.239,KAMA跟踪,,2019
1219,A_原策略_6K极值,2019-11-03 16:00,做空,9200.01,9200.01,是,0.0,168.51,1.832,9160.31,9200.01,9368.52,8096.01,2019-11-04 08:00,9200.01,4,0.0,0.0,1.381,保本平仓,,2019
1220,A_原策略_6K极值,2019-11-02 20:00,做多,9270.0,9270.0,是,0.0,190.33,2.053,9320.0,9270.0,9079.67,11309.4,2019-11-03 12:00,9270.0,4,0.0,0.0,1.043,保本平仓,,2019
1221,A_原策略_6K极值,2019-10-29 04:00,做空,9254.47,9254.47,否,0.0,300.28,3.245,9217.36,9254.47,9554.75,8143.93,2019-10-29 12:00,9554.75,2,-1.0,-3.245,0.589,ATR止损,,2019
1222,A_原策略_6K极值,2019-10-28 00:00,做多,9666.0,9666.0,否,0.0,303.54,3.14,9719.99,9666.0,9362.46,11792.52,2019-10-28 12:00,9362.46,3,-1.0,-3.14,2.733,ATR止损,,2019
1223,A_原策略_6K极值,2019-10-25 16:00,做多,7495.81,7495.81,是,0.0,111.27,1.484,7575.06,7495.81,7384.54,9144.89,2019-10-26 08:00,9144.89,4,14.8202,22.0,38.857,固定止盈,,2019
1224,A_原策略_6K极值,2019-10-23 04:00,做空,8160.0,8160.0,是,0.059,92.66,1.136,8020.89,8160.0,8252.66,7180.8,2019-10-24 00:00,7180.8,5,10.5673,12.0,12.099,固定止盈,,2019
1225,A_原策略_6K极值,2019-10-21 00:00,做多,8041.19,8041.19,是,0.521,97.57,1.213,8229.17,8041.19,7943.62,9810.25,2019-10-22 20:00,8186.34,11,1.4876,1.805,3.648,KAMA跟踪,,2019
1226,A_原策略_6K极值,2019-10-18 12:00,做空,7930.0,7930.0,是,0.0,97.74,1.233,7909.6,7930.0,8027.74,6978.4,2019-10-19 04:00,7942.18,4,-0.1246,-0.154,1.488,保本平仓,,2019
1227,A_原策略_6K极值,2019-10-16 00:00,做空,8205.02,8205.02,是,0.0,107.7,1.313,8177.46,8205.02,8312.72,7220.42,2019-10-17 16:00,8031.09,10,1.615,2.12,3.715,KAMA跟踪,,2019
1228,A_原策略_6K极值,2019-10-13 20:00,做多,8397.45,8397.45,是,0.0,116.32,1.385,8401.39,8397.45,8281.13,10244.89,2019-10-14 04:00,8281.13,2,-1.0,-1.385,0.697,ATR止损,,2019
1229,A_原策略_6K极值,2019-10-11 12:00,做空,8419.34,8419.34,是,0.0,134.46,1.597,8385.26,8419.34,8553.8,7409.02,2019-10-12 20:00,8368.6,8,0.3773,0.603,2.486,KAMA跟踪,,2019
1230,A_原策略_6K极值,2019-10-09 20:00,做多,8242.52,8242.52,是,0.0,128.28,1.556,8550.09,8242.52,8114.24,10055.87,2019-10-10 20:00,8424.97,6,1.4223,2.214,5.126,KAMA跟踪,,2019
1231,A_原策略_6K极值,2019-10-06 12:00,做空,8009.0,8009.0,是,0.012,126.21,1.576,7958.19,8009.0,8135.21,7047.92,2019-10-07 16:00,7991.23,7,0.1408,0.222,3.109,KAMA跟踪,,2019
1232,A_原策略_6K极值,2019-10-05 16:00,做空,8080.81,8080.81,是,0.0,136.39,1.688,8077.76,8080.81,8217.2,7111.11,2019-10-06 08:00,8122.01,4,-0.3021,-0.51,0.889,保本平仓,,2019
