止盈配置,信号时间,年份,月份,方向,突破基准价,回调高点价,回调高点时间,是否有回调高点,回调偏移(%),信号K收盘价,ATR,ATR%,初始止损价,止盈目标价,日线EMA70,偏离度_突破K(%),偏离度_前一K(%),出场时间,出场价,出场原因,涨跌幅_回调高点(%),涨跌幅_突破线(%),R值,MFE_回调高点(%),MFE_突破线(%),MFE的R值,MFE是否≥10%(回调高点),MFE是否≥10%(突破线),MFE是否≥8%(回调高点),持仓K线数,持仓小时
纯KAMA,2019-10-28 00:00,2019,10,做多,9666.0,9666.0,2019-10-28 00:00,否,0.0,9719.99,303.54,3.14,9362.46,,9034.64,7.59,5.49,2019-10-28 12:00,9362.46,ATR止损,-3.14,-3.14,-1.0,2.73,2.73,0.87,否,否,否,3,12
纯KAMA,2019-10-29 04:00,2019,10,做空,9254.47,9254.47,2019-10-29 04:00,否,0.0,9217.36,300.28,3.24,9554.75,,9039.79,1.96,4.1,2019-10-29 12:00,9554.75,ATR止损,-3.24,-3.24,-1.0,0.59,0.59,0.18,否,否,否,2,8
纯KAMA,2019-11-02 20:00,2019,11,做多,9270.0,9267.83,2019-11-02 08:00,是,0.02,9320.0,190.33,2.05,9079.67,,9067.61,2.78,1.9,2019-11-03 12:00,9270.0,保本平仓,0.02,0.0,0.0,1.07,1.04,0.51,否,否,否,4,16
纯KAMA,2019-11-03 16:00,2019,11,做空,9200.01,9266.0,2019-11-03 00:00,是,0.72,9160.31,168.51,1.83,9368.52,,9071.28,0.98,1.93,2019-11-04 08:00,9200.01,保本平仓,0.71,0.0,0.0,2.08,1.38,0.75,否,否,否,4,16
纯KAMA,2019-11-04 16:00,2019,11,做多,9250.4,9240.0,2019-11-04 04:00,是,0.11,9259.38,150.58,1.63,9099.82,,9080.41,1.97,1.18,2019-11-05 12:00,9269.88,KAMA跟踪止盈,0.32,0.21,0.13,3.35,3.24,1.99,否,否,否,5,20
纯KAMA,2019-11-07 16:00,2019,11,做空,9220.0,9259.48,2019-11-07 00:00,是,0.43,9206.51,131.63,1.43,9351.63,,9097.73,1.2,1.86,2019-11-08 08:00,9220.0,保本平仓,0.43,0.0,0.0,1.82,1.4,0.98,否,否,否,4,16
纯KAMA,2019-11-08 16:00,2019,11,做空,9091.2,9091.2,2019-11-08 04:00,是,0.0,9033.3,126.52,1.39,9217.72,,9088.64,-0.61,0.66,2019-11-09 20:00,8870.83,KAMA跟踪止盈,2.42,2.42,1.74,4.63,4.63,3.33,否,否,否,7,28
纯KAMA,2019-11-11 00:00,2019,11,做多,8889.02,8889.02,2019-11-10 12:00,是,0.0,9049.13,118.01,1.33,8771.01,,9079.71,-0.34,-3.03,2019-11-11 12:00,8771.01,ATR止损,-1.33,-1.33,-1.0,2.37,2.37,1.79,否,否,否,3,12
纯KAMA,2019-11-14 12:00,2019,11,做空,8712.0,8732.0,2019-11-13 20:00,是,0.23,8667.46,107.17,1.23,8819.17,,9042.98,-4.15,-3.13,2019-11-15 16:00,8666.7,KAMA跟踪止盈,0.75,0.52,0.42,2.49,2.26,1.84,否,否,否,7,28
纯KAMA,2019-11-15 20:00,2019,11,做空,8515.0,8515.0,2019-11-15 08:00,是,0.0,8476.55,104.97,1.23,8619.97,,9026.94,-6.1,-4.4,2019-11-16 16:00,8515.0,保本平仓,0.0,0.0,0.0,0.99,0.99,0.8,否,否,否,5,20
纯KAMA,2019-11-17 12:00,2019,11,做空,8453.69,8455.0,2019-11-16 16:00,是,0.02,8427.14,93.47,1.11,8547.16,,8997.54,-6.34,-5.73,2019-11-17 16:00,8547.16,ATR止损,-1.09,-1.11,-1.0,1.17,1.16,1.05,否,否,否,1,4
纯KAMA,2019-11-18 20:00,2019,11,做空,8417.0,8417.0,2019-11-18 08:00,是,0.0,8410.0,95.59,1.14,8512.59,,8974.6,-6.29,-5.9,2019-11-20 00:00,8149.97,KAMA跟踪止盈,3.17,3.17,2.79,4.95,4.95,4.36,否,否,否,7,28
纯KAMA,2019-11-21 16:00,2019,11,做空,8037.5,8067.0,2019-11-21 04:00,是,0.37,7871.42,96.51,1.2,8134.01,,8889.96,-11.46,-9.04,2019-11-22 16:00,7668.97,KAMA跟踪止盈,4.93,4.59,3.82,14.22,13.9,11.58,是,是,是,6,24
纯KAMA,2019-11-24 20:00,2019,11,做空,7079.13,7132.27,2019-11-23 20:00,是,0.75,6979.96,164.57,2.32,7243.7,,8747.28,-20.2,-17.7,2019-11-25 20:00,6974.71,KAMA跟踪止盈,2.21,1.48,0.63,8.72,8.04,3.46,否,否,是,6,24
纯KAMA,2019-11-27 20:00,2019,11,做多,7221.77,7171.75,2019-11-27 08:00,是,0.69,7300.02,194.13,2.69,7027.64,,8624.84,-15.36,-17.17,2019-11-29 04:00,7384.04,KAMA跟踪止盈,2.96,2.25,0.84,6.94,6.2,2.3,否,否,否,8,32
纯KAMA,2019-11-29 20:00,2019,11,做多,7643.0,7618.0,2019-11-29 04:00,是,0.33,7803.96,185.19,2.42,7457.81,,8566.72,-8.9,-12.29,2019-11-30 16:00,7643.0,保本平仓,0.33,0.0,0.0,3.05,2.71,1.12,否,否,否,5,20
纯KAMA,2019-12-01 00:00,2019,11,做空,7511.11,7660.0,2019-11-30 04:00,是,1.98,7504.35,177.59,2.36,7688.7,,8537.88,-12.11,-11.73,2019-12-01 20:00,7404.23,KAMA跟踪止盈,3.34,1.42,0.6,5.71,3.85,1.63,否,否,否,5,20
纯KAMA,2019-12-04 08:00,2019,12,做空,7231.35,7261.29,2019-12-03 20:00,是,0.41,7145.99,138.88,1.92,7370.23,,8402.88,-14.96,-13.6,2019-12-04 20:00,7370.23,ATR止损,-1.5,-1.92,-1.0,2.63,2.23,1.16,否,否,否,3,12
纯KAMA,2019-12-08 08:00,2019,12,做空,7467.44,7467.44,2019-12-07 16:00,是,0.0,7403.21,132.75,1.78,7600.19,,8302.86,-10.84,-10.07,2019-12-09 00:00,7461.57,KAMA跟踪止盈,0.08,0.08,0.04,1.12,1.12,0.63,否,否,否,4,16
纯KAMA,2019-12-09 20:00,2019,12,做空,7434.57,7493.63,2019-12-08 20:00,是,0.79,7423.47,111.57,1.5,7546.14,,8275.67,-10.3,-9.77,2019-12-11 20:00,7251.21,KAMA跟踪止盈,3.24,2.47,1.64,5.02,4.26,2.84,否,否,否,12,48
纯KAMA,2019-12-14 16:00,2019,12,做空,7203.43,7231.0,2019-12-14 04:00,是,0.38,7183.45,79.79,1.11,7283.22,,8130.55,-11.65,-10.83,2019-12-15 12:00,7139.44,KAMA跟踪止盈,1.27,0.89,0.8,3.13,2.76,2.49,否,否,否,5,20
纯KAMA,2019-12-17 00:00,2019,12,做空,7037.03,7037.03,2019-12-16 12:00,是,0.0,6900.0,79.89,1.14,7116.92,,8067.73,-14.47,-12.17,2019-12-18 20:00,6707.45,KAMA跟踪止盈,4.68,4.68,4.13,8.67,8.67,7.64,否,否,是,11,44
纯KAMA,2019-12-19 00:00,2019,12,做多,6868.29,6720.0,2019-12-18 08:00,是,2.16,6951.33,117.62,1.71,6750.67,,8005.81,-13.17,-14.83,2019-12-24 00:00,7461.24,KAMA跟踪止盈,11.03,8.63,5.04,14.45,11.98,6.99,是,是,是,30,120
纯KAMA,2019-12-24 04:00,2019,12,做空,7342.28,7452.0,2019-12-23 12:00,是,1.49,7314.01,118.87,1.62,7461.15,,7906.45,-7.49,-6.01,2019-12-24 20:00,7342.28,保本平仓,1.47,0.0,0.0,3.05,1.6,0.99,否,否,否,4,16
纯KAMA,2019-12-27 00:00,2019,12,做多,7265.0,7265.0,2019-12-26 04:00,是,0.0,7293.31,101.02,1.39,7163.98,,7849.77,-7.09,-7.91,2019-12-27 04:00,7163.98,ATR止损,-1.39,-1.39,-1.0,0.88,0.88,0.63,否,否,否,1,4
纯KAMA,2019-12-27 16:00,2019,12,做空,7151.0,7151.0,2019-12-27 04:00,是,0.0,7132.01,106.61,1.49,7257.61,,7832.83,-8.95,-8.27,2019-12-27 20:00,7257.61,ATR止损,-1.49,-1.49,-1.0,0.85,0.85,0.57,否,否,否,1,4
纯KAMA,2019-12-28 08:00,2019,12,做多,7270.0,7238.16,2019-12-27 08:00,是,0.44,7284.59,106.92,1.47,7163.08,,7818.14,-6.82,-7.46,2019-12-29 00:00,7279.83,KAMA跟踪止盈,0.58,0.14,0.09,1.67,1.23,0.83,否,否,否,4,16
纯KAMA,2019-12-29 20:00,2019,12,做多,7359.15,7348.0,2019-12-29 04:00,是,0.15,7391.22,89.83,1.22,7269.32,,7805.9,-5.31,-5.96,2019-12-30 12:00,7359.15,保本平仓,0.15,0.0,0.0,2.44,2.28,1.87,否,否,否,4,16
纯KAMA,2019-12-30 20:00,2019,12,做空,7287.25,7322.26,2019-12-29 20:00,是,0.48,7258.26,92.33,1.27,7379.58,,7789.97,-6.83,-6.15,2019-12-31 20:00,7287.25,保本平仓,0.48,0.0,0.0,1.92,1.45,1.14,否,否,否,6,24
纯KAMA,2020-01-01 00:00,2019,12,做空,7181.78,7190.0,2019-12-31 08:00,是,0.11,7168.24,85.35,1.19,7267.13,,7773.04,-7.78,-7.48,2020-01-01 16:00,7181.78,保本平仓,0.11,0.0,0.0,0.41,0.3,0.25,否,否,否,4,16
纯KAMA,2020-01-02 08:00,2020,1,做空,7170.15,7174.0,2020-01-01 16:00,是,0.05,7127.29,75.94,1.06,7246.09,,7734.45,-7.85,-7.21,2020-01-03 12:00,7086.8,KAMA跟踪止盈,1.22,1.16,1.1,4.33,4.28,4.04,否,否,否,7,28
纯KAMA,2020-01-03 16:00,2020,1,做多,7300.0,7143.29,2020-01-03 00:00,是,2.15,7338.11,94.5,1.29,7205.5,,7723.38,-4.99,-6.8,2020-01-04 08:00,7300.0,保本平仓,2.19,0.0,0.0,3.7,1.47,1.14,否,否,否,4,16
纯KAMA,2020-01-05 08:00,2020,1,做多,7400.0,7368.47,2020-01-04 12:00,是,0.43,7475.15,94.48,1.28,7305.52,,7702.79,-2.96,-4.7,2020-01-06 04:00,7400.0,保本平仓,0.43,0.0,0.0,1.72,1.28,1.01,否,否,否,5,20
纯KAMA,2020-01-06 08:00,2020,1,做多,7495.0,7495.0,2020-01-05 12:00,是,0.0,7538.65,93.03,1.24,7401.97,,7704.32,-2.15,-4.52,2020-01-09 00:00,8141.71,KAMA跟踪止盈,8.63,8.63,6.95,12.99,12.99,10.46,是,是,是,16,64
纯KAMA,2020-01-10 20:00,2020,1,做多,8006.83,7855.0,2020-01-10 08:00,是,1.9,8066.68,152.6,1.91,7854.23,,7742.66,4.18,1.27,2020-01-12 04:00,8010.19,KAMA跟踪止盈,1.98,0.04,0.02,5.57,3.56,1.87,否,否,否,8,32
纯KAMA,2020-01-14 08:00,2020,1,做多,8200.0,8135.93,2020-01-13 16:00,是,0.78,8469.84,127.66,1.56,8072.34,,7802.28,8.56,4.38,2020-01-15 12:00,8671.82,KAMA跟踪止盈,6.59,5.75,3.7,9.62,8.76,5.63,否,否,是,7,28
纯KAMA,2020-01-17 12:00,2020,1,做多,8843.49,8793.77,2020-01-16 20:00,是,0.56,8944.5,155.69,1.76,8687.8,,7886.21,13.42,11.44,2020-01-18 12:00,8843.49,保本平仓,0.57,0.0,0.0,2.79,2.21,1.26,否,否,否,6,24
纯KAMA,2020-01-19 08:00,2020,1,做多,8995.0,8968.0,2020-01-18 20:00,是,0.3,9165.18,139.27,1.55,8855.73,,7937.74,15.46,12.75,2020-01-19 16:00,8855.73,ATR止损,-1.25,-1.55,-1.0,2.29,1.98,1.28,否,否,否,2,8
纯KAMA,2020-01-22 00:00,2020,1,做空,8608.71,8612.51,2020-01-21 04:00,是,0.04,8536.51,137.05,1.59,8745.76,,7979.9,6.98,8.41,2020-01-22 04:00,8745.76,ATR止损,-1.55,-1.59,-1.0,0.91,0.87,0.55,否,否,否,1,4
纯KAMA,2020-01-23 16:00,2020,1,做空,8504.0,8504.0,2020-01-23 16:00,否,0.0,8433.81,129.26,1.52,8633.26,,8011.3,5.27,7.15,2020-01-24 20:00,8444.39,KAMA跟踪止盈,0.7,0.7,0.46,3.02,3.02,1.99,否,否,否,7,28
纯KAMA,2020-01-26 16:00,2020,1,做多,8425.0,8425.0,2020-01-26 04:00,是,0.0,8481.78,112.42,1.33,8312.58,,8048.78,5.38,4.19,2020-01-27 16:00,8582.95,KAMA跟踪止盈,1.87,1.87,1.41,4.02,4.02,3.02,否,否,否,6,24
纯KAMA,2020-01-27 20:00,2020,1,做多,8764.0,8764.0,2020-01-27 20:00,否,0.0,8780.28,110.61,1.26,8653.39,,8073.14,8.76,8.23,2020-01-28 16:00,8954.09,KAMA跟踪止盈,2.17,2.17,1.72,4.71,4.71,3.73,否,否,否,5,20
纯KAMA,2020-01-29 04:00,2020,1,做多,9207.81,9176.68,2020-01-28 08:00,是,0.34,9398.98,134.36,1.46,9073.45,,8110.49,15.89,11.21,2020-01-30 08:00,9223.66,KAMA跟踪止盈,0.51,0.17,0.12,3.09,2.74,1.88,否,否,否,7,28
纯KAMA,2020-01-31 00:00,2020,1,做多,9460.52,9460.52,2020-01-30 04:00,是,0.0,9515.38,142.28,1.5,9318.24,,8183.22,16.28,14.78,2020-01-31 16:00,9460.52,保本平仓,0.0,0.0,0.0,1.46,1.46,0.97,否,否,否,4,16
纯KAMA,2020-02-02 08:00,2020,2,做空,9306.0,9306.0,2020-02-01 20:00,是,0.0,9274.37,129.36,1.39,9435.36,,8280.29,12.01,13.86,2020-02-02 16:00,9435.36,ATR止损,-1.39,-1.39,-1.0,1.57,1.57,1.13,否,否,否,2,8
纯KAMA,2020-02-03 20:00,2020,2,做空,9290.0,9290.0,2020-02-03 08:00,是,0.0,9283.16,136.18,1.47,9426.18,,8309.03,11.72,12.61,2020-02-04 12:00,9290.0,保本平仓,0.0,0.0,0.0,0.68,0.68,0.47,否,否,否,4,16
纯KAMA,2020-02-04 16:00,2020,2,做空,9226.4,9250.0,2020-02-04 00:00,是,0.26,9193.76,127.65,1.38,9354.05,,8334.09,10.32,11.4,2020-02-05 08:00,9226.4,保本平仓,0.26,0.0,0.0,1.57,1.32,0.95,否,否,否,4,16
纯KAMA,2020-02-05 16:00,2020,2,做多,9307.78,9305.0,2020-02-04 16:00,是,0.03,9423.0,120.41,1.29,9187.37,,8370.59,12.57,10.83,2020-02-07 04:00,9675.07,KAMA跟踪止盈,3.98,3.95,3.05,6.22,6.19,4.79,否,否,否,9,36
纯KAMA,2020-02-08 08:00,2020,2,做空,9736.66,9743.21,2020-02-07 12:00,是,0.07,9726.32,124.85,1.28,9861.51,,8491.02,14.55,16.23,2020-02-08 16:00,9861.51,ATR止损,-1.21,-1.28,-1.0,0.32,0.26,0.2,否,否,否,2,8
纯KAMA,2020-02-09 04:00,2020,2,做多,9898.57,9840.0,2020-02-08 04:00,是,0.59,9906.43,121.11,1.22,9777.46,,8491.02,16.67,16.24,2020-02-10 12:00,10056.22,KAMA跟踪止盈,2.2,1.59,1.3,3.8,3.18,2.6,否,否,否,8,32
纯KAMA,2020-02-11 08:00,2020,2,做空,9750.0,9782.1,2020-02-10 20:00,是,0.33,9749.24,133.29,1.37,9883.29,,8622.21,13.07,15.04,2020-02-11 20:00,9883.29,ATR止损,-1.03,-1.37,-1.0,0.54,0.21,0.15,否,否,否,3,12
纯KAMA,2020-02-12 00:00,2020,2,做多,10240.0,9874.77,2020-02-11 08:00,是,3.57,10287.46,143.49,1.4,10096.51,,8622.21,19.31,18.35,2020-02-12 16:00,10240.0,保本平仓,3.7,0.0,0.0,6.13,2.34,1.67,否,否,否,4,16
纯KAMA,2020-02-13 16:00,2020,2,做空,10235.52,10317.26,2020-02-13 04:00,是,0.8,10165.03,143.98,1.41,10379.5,,8714.79,16.64,18.74,2020-02-13 20:00,10379.5,ATR止损,-0.6,-1.41,-1.0,1.9,1.12,0.79,否,否,否,1,4
纯KAMA,2020-02-15 20:00,2020,2,做空,10203.98,10233.0,2020-02-14 20:00,是,0.28,9982.18,145.71,1.43,10349.69,,8793.55,13.52,16.53,2020-02-17 04:00,9988.04,KAMA跟踪止盈,2.39,2.12,1.48,5.93,5.66,3.96,否,否,否,8,32
纯KAMA,2020-02-18 20:00,2020,2,做多,9821.0,9821.0,2020-02-18 20:00,否,0.0,9837.99,166.41,1.69,9654.59,,8887.72,10.69,9.28,2020-02-20 04:00,10048.03,KAMA跟踪止盈,2.31,2.31,1.36,4.73,4.73,2.79,否,否,否,8,32
纯KAMA,2020-02-21 08:00,2020,2,做多,9700.0,9654.64,2020-02-20 08:00,是,0.47,9709.82,194.67,2.01,9505.33,,8948.41,8.51,7.56,2020-02-22 00:00,9765.89,KAMA跟踪止盈,1.15,0.68,0.34,1.09,0.61,0.31,否,否,否,4,16
纯KAMA,2020-02-23 08:00,2020,2,做多,9710.7,9710.7,2020-02-22 08:00,是,0.0,9793.8,147.14,1.52,9563.56,,8995.89,8.87,7.7,2020-02-24 08:00,9823.66,KAMA跟踪止盈,1.16,1.16,0.77,3.17,3.17,2.09,否,否,否,6,24
纯KAMA,2020-02-25 20:00,2020,2,做空,9487.38,9487.38,2020-02-25 00:00,是,0.0,9404.39,151.77,1.6,9639.15,,9023.45,4.22,6.74,2020-02-27 20:00,8873.35,KAMA跟踪止盈,6.47,6.47,4.05,10.05,10.05,6.28,是,是,是,12,48
纯KAMA,2020-02-28 16:00,2020,2,做空,8684.46,8684.46,2020-02-28 04:00,是,0.0,8593.54,178.68,2.06,8863.14,,9002.82,-4.55,-2.96,2020-02-29 08:00,8684.46,保本平仓,0.0,0.0,0.0,2.7,2.7,1.31,否,否,否,4,16
纯KAMA,2020-03-01 04:00,2020,2,做空,8576.13,8576.13,2020-02-29 04:00,是,0.0,8531.98,173.87,2.03,8750.0,,8989.56,-5.09,-3.44,2020-03-01 20:00,8576.13,保本平仓,0.0,0.0,0.0,0.65,0.65,0.32,否,否,否,4,16
纯KAMA,2020-03-02 20:00,2020,3,做多,8779.88,8762.24,2020-03-01 20:00,是,0.2,8828.53,163.78,1.87,8616.1,,8975.22,-1.63,-2.39,2020-03-03 12:00,8798.3,KAMA跟踪止盈,0.41,0.21,0.11,2.39,2.19,1.17,否,否,否,4,16
纯KAMA,2020-03-05 08:00,2020,3,做多,8853.88,8787.23,2020-03-04 20:00,是,0.75,8878.52,139.52,1.58,8714.36,,8966.12,-0.98,-2.3,2020-03-06 20:00,9018.46,KAMA跟踪止盈,2.63,1.86,1.18,4.47,3.68,2.34,否,否,否,9,36
纯KAMA,2020-03-08 00:00,2020,3,做空,9016.0,9056.1,2020-03-07 12:00,是,0.44,8896.9,116.94,1.3,9132.94,,8968.93,-0.8,1.7,2020-03-10 04:00,7883.89,KAMA跟踪止盈,12.94,12.56,9.68,15.69,15.31,11.81,是,是,是,13,52
纯KAMA,2020-03-10 16:00,2020,3,做多,7996.28,7996.28,2020-03-09 16:00,是,0.0,8068.62,171.17,2.14,7825.11,,8885.61,-9.19,-11.04,2020-03-10 20:00,7825.11,ATR止损,-2.14,-2.14,-1.0,2.0,2.0,0.93,否,否,否,1,4
纯KAMA,2020-03-12 12:00,2020,3,做空,7575.0,7575.0,2020-03-12 12:00,否,0.0,7397.9,194.49,2.57,7769.49,,8743.6,-15.39,-12.31,2020-03-13 20:00,5681.1,KAMA跟踪止盈,25.0,25.0,9.74,52.19,52.19,20.33,是,是,是,8,32
纯KAMA,2020-03-16 12:00,2020,3,做空,5169.6,5207.06,2020-03-15 16:00,是,0.72,4783.83,416.82,8.06,5586.42,,8368.98,-42.84,-37.06,2020-03-17 08:00,5169.6,保本平仓,0.72,0.0,0.0,15.24,14.62,1.81,是,是,是,5,20
纯KAMA,2020-03-19 16:00,2020,3,做多,5448.07,5448.07,2020-03-19 16:00,否,0.0,5616.23,337.78,6.2,5110.29,,8143.74,-31.04,-33.6,2020-03-21 00:00,6270.54,KAMA跟踪止盈,15.1,15.1,2.43,26.85,26.85,4.33,是,是,是,8,32
纯KAMA,2020-03-23 04:00,2020,3,做空,5855.68,6100.57,2020-03-22 08:00,是,4.18,5810.17,320.52,5.47,6176.2,,7972.73,-27.12,-25.9,2020-03-23 20:00,5855.68,保本平仓,4.01,0.0,0.0,7.06,3.17,0.58,否,否,否,4,16
纯KAMA,2020-03-24 16:00,2020,3,做多,6689.51,6619.9,2020-03-23 20:00,是,1.04,6732.6,313.31,4.68,6376.2,,7896.74,-14.74,-16.87,2020-03-25 08:00,6689.51,保本平仓,1.05,0.0,0.0,2.58,1.51,0.32,否,否,否,4,16
